size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.98000      13.74500      13.42200      13.46300      13.41200      0.00000       50.23700      40.66500      39.71100      39.83000      39.67900      0.00000      
2048       12.56600      9.57300       9.84500       10.19600      9.94900       9.91000       37.17800      28.32200      29.12700      30.16500      29.43500      29.32100     
4096       8.56200       5.18400       5.01800       5.02100       4.69800       4.88300       25.33100      15.33600      14.84600      14.85600      13.90000      14.44500     
8192       7.00100       4.29100       4.07500       4.08500       4.09200       4.09000       20.71200      12.69700      12.05500      12.08400      12.10600      12.10000     
16384      2.91900       2.96600       2.95400       3.08500       3.22500       3.27000       8.63700       8.77700       8.73900       9.12900       9.54100       9.67600      
32768      2.56200       1.02600       1.21900       1.13500       1.21900       1.31000       7.57900       3.03600       3.60600       3.35700       3.60600       3.87400      
65536      2.11500       0.52000       0.12200       0.07800       0.06600       0.06500       6.25700       1.53900       0.36200       0.23200       0.19500       0.19400      
131072     0.10800       0.10300       0.06000       0.06000       0.06000       0.05900       0.31900       0.30600       0.17800       0.17800       0.17700       0.17600      
262144     0.08000       0.05800       0.05700       0.05600       0.05600       0.05600       0.23700       0.17100       0.16900       0.16700       0.16500       0.16500      
524288     0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16700       0.16500       0.16500       0.16500       0.16500       0.16500      
1048576    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
2097152    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
4194304    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
8388608    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
