size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.98000      12.66000      12.33500      13.54000      27.01400      0.00000       50.23700      37.45600      36.49300      40.05900      79.92400      0.00000      
2048       12.56600      9.26300       10.19700      10.64300      12.18800      25.14700      37.17800      27.40600      30.16800      31.48800      36.06000      74.39800     
4096       8.56200       5.48300       6.34900       9.21900       9.90300       11.51900      25.33100      16.22300      18.78400      27.27600      29.29900      34.08100     
8192       7.00100       4.37000       4.36600       4.96100       8.20200       8.92300       20.71200      12.92800      12.91700      14.67700      24.26500      26.40000     
16384      2.91900       3.06600       3.26500       3.35400       3.61300       5.17800       8.63700       9.07000       9.65900       9.92400       10.68900      15.31900     
32768      2.56200       0.99900       1.16700       0.84000       0.84200       0.88400       7.57900       2.95500       3.45300       2.48400       2.49300       2.61500      
65536      2.11500       0.50900       0.10100       0.07400       0.07100       0.07700       6.25700       1.50700       0.30000       0.21900       0.20900       0.22800      
131072     0.10800       0.09900       0.05900       0.06000       0.06200       0.06400       0.31900       0.29200       0.17500       0.17600       0.18500       0.18900      
262144     0.08000       0.05700       0.05700       0.05700       0.05800       0.06000       0.23700       0.16900       0.16700       0.16900       0.17000       0.17900      
524288     0.05600       0.05600       0.05600       0.05600       0.05700       0.05800       0.16700       0.16500       0.16600       0.16600       0.16800       0.17000      
1048576    0.05600       0.05600       0.05600       0.05600       0.05600       0.05700       0.16600       0.16500       0.16500       0.16600       0.16600       0.16800      
2097152    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16600       0.16600      
4194304    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16600      
8388608    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
