size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.98000      12.79400      12.14300      12.41200      11.68900      0.00000       50.23700      37.85100      35.92600      36.72300      34.58100      0.00000      
2048       12.56600      9.30400       9.33200       9.50100       9.18200       9.15100       37.17800      27.52800      27.60900      28.10800      27.16600      27.07300     
4096       8.56200       4.87500       4.85700       4.85200       4.26000       4.20900       25.33100      14.42400      14.37100      14.35600      12.60200      12.45400     
8192       7.00100       4.18200       3.98000       3.97200       3.99200       3.99300       20.71200      12.37100      11.77500      11.75100      11.81000      11.81500     
16384      2.91900       3.02400       3.22700       3.28600       3.34700       3.36600       8.63700       8.94700       9.54800       9.72100       9.90200       9.96000      
32768      2.56200       0.99700       1.16000       0.83900       0.83300       0.86100       7.57900       2.95000       3.43200       2.48200       2.46600       2.54600      
65536      2.11500       0.50900       0.10000       0.07000       0.06400       0.06400       6.25700       1.50600       0.29600       0.20600       0.19100       0.19000      
131072     0.10800       0.09900       0.05800       0.05800       0.05800       0.05800       0.31900       0.29200       0.17300       0.17200       0.17100       0.17100      
262144     0.08000       0.05700       0.05600       0.05600       0.05600       0.05600       0.23700       0.16800       0.16600       0.16500       0.16500       0.16500      
524288     0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16700       0.16500       0.16500       0.16500       0.16500       0.16500      
1048576    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
2097152    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
4194304    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
8388608    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
