size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.98000      13.31600      13.06300      12.96400      13.09000      0.00000       50.23700      39.39500      38.64700      38.35400      38.72700      0.00000      
2048       12.56600      9.14300       9.13300       9.44000       8.99600       9.88800       37.17800      27.05100      27.01900      27.92800      26.61500      29.25300     
4096       8.56200       5.52600       5.72600       5.74400       5.55800       5.38300       25.33100      16.35000      16.94000      16.99500      16.44400      15.92600     
8192       7.00100       4.45500       4.23900       4.28200       4.28200       4.20900       20.71200      13.18200      12.54300      12.66700      12.67000      12.45300     
16384      2.91900       3.01400       3.03100       3.05800       3.13000       3.11300       8.63700       8.91800       8.96700       9.04700       9.25900       9.20900      
32768      2.56200       1.05200       1.17800       1.01200       1.04000       1.05100       7.57900       3.11200       3.48400       2.99500       3.07800       3.10900      
65536      2.11500       0.55700       0.12900       0.09300       0.08100       0.08400       6.25700       1.64800       0.38100       0.27400       0.24100       0.25000      
131072     0.10800       0.10600       0.06700       0.06500       0.06600       0.06700       0.31900       0.31300       0.19800       0.19300       0.19400       0.19900      
262144     0.08000       0.06100       0.06200       0.06100       0.06100       0.06100       0.23700       0.18000       0.18300       0.18000       0.18000       0.18100      
524288     0.05600       0.05800       0.05800       0.05800       0.05900       0.05800       0.16700       0.17100       0.17000       0.17200       0.17300       0.17200      
1048576    0.05600       0.05600       0.05600       0.05700       0.05700       0.05700       0.16600       0.16600       0.16600       0.16900       0.16900       0.16800      
2097152    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16600       0.16600       0.16600      
4194304    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16600       0.16500      
8388608    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
