size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       32.76700      14.41200      14.05700      10.67400      0.00000       100.87600     44.38600      43.29200      32.86100      0.00000       0.00000       0.00000      
2048       27.52600      9.56300       12.74500      13.36400      14.37400      84.77200      29.45000      39.25100      41.15600      44.26600      0.00000       0.00000      
4096       24.29700      5.79900       5.82500       10.29500      12.70500      13.35900      74.82800      17.85900      17.94000      31.70500      39.12800      41.14200     
8192       20.48600      4.79200       3.86700       5.80600       10.29400      12.69600      63.09000      14.75900      11.91000      17.87900      31.70300      39.10000     
16384      2.54100       1.25900       3.85400       5.79800       10.28500      7.82300       3.87600       11.87000      17.85500      31.67300      0.00000       0.00000      
32768      3.64900       2.15800       1.24900       3.82100       1.24900       11.23700      6.64500       3.84500       11.76600      3.84400       0.00000       0.00000      
65536      3.09200       1.92800       1.99400       3.19800       3.74400       3.75700       9.52300       5.93700       6.14200       9.85000       11.53000      11.57100     
131072     1.98100       1.24500       1.44700       1.70100       3.40200       6.10100       3.83600       4.45600       5.23800       10.47800      0.00000       0.00000      
262144     1.65600       0.44100       0.81300       0.85200       5.10000       1.34500       2.50300       2.62200       0.00000       0.00000       0.00000       0.00000      
524288     1.39200       0.74600       0.77200       0.79400       0.84900       4.28600       2.29700       2.37700       2.44400       2.61400       0.00000       0.00000      
1048576    0.60000       0.74100       0.79100       1.84700       2.28300       2.43700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.59300       0.59400       0.73700       0.73700       0.76600       1.82700       1.82900       2.26800       2.26900       2.35800       0.00000       0.00000      
4194304    0.58400       0.58100       0.58300       0.72800       0.72800       1.79800       1.79000       1.79700       2.24100       2.24100       0.00000       0.00000      
8388608    0.53700       0.55600       0.55900       0.56100       0.56400       1.75800       1.71100       1.72000       1.72700       1.73600       0.00000       0.00000      
