size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       34.77700      19.17700      16.53100      15.46300      9.74600       0.00000       107.10500     59.05900      50.91000      47.60400      39.25600      0.00000      
2048       27.52600      8.50400       4.38000       3.63900       1.27200       84.77200      26.19100      13.48900      11.20600      3.99400       0.00000       0.00000      
4096       24.29700      1.24100       2.00500       2.00300       2.00400       74.82800      3.81900       6.17400       6.17000       6.17200       0.00000       0.00000      
8192       20.48600      4.28500       1.97700       1.97000       1.96800       63.09000      13.19800      6.08800       6.06700       6.06200       0.00000       0.00000      
16384      4.19300       2.20700       1.12900       1.94000       1.18300       1.94400       12.91300      6.79800       3.69700       5.97600       3.64100       5.98800      
32768      3.64900       1.97800       1.89600       1.90600       1.91100       11.23700      6.09100       5.84000       5.87000       5.88400       0.00000       0.00000      
65536      3.09200       1.80600       1.15800       1.15900       1.82400       9.52300       5.56300       3.56600       3.56700       5.61700       0.00000       0.00000      
131072     0.60200       1.08500       1.25500       1.48200       1.43600       1.44200       1.85300       3.34000       3.86600       4.56500       4.42200       4.44000      
262144     1.65600       0.67200       0.67200       0.68300       0.68300       0.68400       5.10000       2.07000       2.07100       2.10300       2.10300       2.10800      
524288     1.39200       0.60200       0.60200       0.60200       0.60200       4.28600       1.85300       1.85300       1.85300       1.85300       0.00000       0.00000      
1048576    0.63200       0.59900       0.60000       0.48700       0.25200       1.94500       1.84500       1.84700       1.49800       1.03400       0.00000       0.00000      
2097152    0.61600       0.59700       0.61100       0.59500       0.59500       0.59500       1.89700       1.83900       1.99900       1.83200       1.83200       1.83200      
4194304    0.58400       0.58000       0.58700       0.23900       1.79800       1.78600       1.80700       0.98300       0.00000       0.00000       0.00000       0.00000      
8388608    0.53700       0.55600       0.56000       0.56200       0.56200       0.56200       1.75800       1.71200       1.72500       1.72900       1.73000       1.73100      
