size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.29600      16.76800      16.95400      20.10700      0.00000       62.50500      51.64100      52.21500      61.92500      0.00000       0.00000       0.00000      
2048       27.52600      11.55000      14.54200      16.21700      13.65500      84.77200      35.57000      44.78600      49.94300      44.82200      0.00000       0.00000      
4096       24.29700      7.22200       7.78200       14.20600      16.19900      16.87700      74.82800      22.24100      23.96700      43.74900      49.88800      51.97700     
8192       20.48600      6.44000       4.69200       14.12900      12.88900      63.09000      19.83500      14.44900      43.51500      39.27100      0.00000       0.00000      
16384      4.36400       4.66700       4.67800       7.68600       13.79300      13.44100      14.37300      14.40700      23.67200      42.47700      0.00000       0.00000      
32768      3.64900       2.36400       4.65900       11.23700      7.28100       14.34700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      3.09200       2.10300       2.11000       1.30000       1.41300       4.55300       9.52300       6.47500       6.49900       4.00300       4.63800       14.02100     
131072     1.42700       1.82800       3.57700       4.15900       4.39600       5.63000       11.01600      12.80700      0.00000       0.00000       0.00000       0.00000      
262144     0.49200       0.85600       0.87500       0.90800       0.97800       1.50100       2.63600       2.69600       2.79600       3.01300       0.00000       0.00000      
524288     1.39200       0.48700       0.82300       0.86700       0.88900       0.97600       4.28600       1.49800       2.53400       2.67000       2.73700       3.00400      
1048576    0.63200       0.60000       0.82100       0.82100       0.86500       0.88500       1.94500       1.84700       2.52700       2.52700       2.66400       2.72700      
2097152    0.61600       0.44100       0.59400       0.81600       0.81600       0.48600       1.89700       1.34200       1.82900       2.51300       2.51400       1.49600      
4194304    0.58400       0.58100       0.39300       0.58500       0.80700       0.80700       1.79800       1.79000       1.18900       1.80300       2.48600       2.48600      
8388608    0.55900       0.55600       0.55900       0.56100       0.56400       0.78500       1.72000       1.71100       1.72000       1.72700       1.73600       2.41800      
