size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       34.47300      18.06200      14.32900      15.22000      13.56300      0.00000       106.16800     55.62700      44.13000      46.87300      41.77100      0.00000      
2048       27.36800      8.35900       4.03500       3.43100       3.74700       5.31400       84.28500      25.74400      12.42800      10.56700      11.53800      16.36700     
4096       24.21700      5.50600       1.95100       1.93600       1.93600       1.93600       74.58100      16.95600      6.00800       5.96300       5.96300       5.96300      
8192       20.44400      4.31100       1.93800       1.93300       1.93400       1.93400       62.96300      13.27500      5.97000       5.95500       5.95600       5.95600      
16384      4.17100       2.22200       1.92300       1.92400       1.92600       1.92600       12.84700      6.84300       5.92100       5.92600       5.93100       5.93100      
32768      3.63800       1.97100       1.88600       1.89900       1.90400       1.90400       11.20500      6.06900       5.81000       5.84700       5.86500       5.86500      
65536      3.08700       1.79900       1.75000       1.80100       1.83400       1.83400       9.50700       5.54100       5.39000       5.54600       5.64700       5.64700      
131072     1.97800       1.07800       1.25600       1.45200       1.49300       1.49300       6.09300       3.31900       3.86800       4.47300       4.59800       4.59700      
262144     1.65500       0.63900       0.61000       0.62100       0.60300       0.60300       5.09600       1.96700       1.87800       1.91100       1.85800       1.85600      
524288     1.39100       0.60400       0.60100       0.60100       0.60200       0.60200       4.28400       1.86100       1.85200       1.85200       1.85300       1.85300      
1048576    0.63100       0.60000       0.59900       0.59900       0.59900       0.59900       1.94400       1.84700       1.84500       1.84600       1.84600       1.84600      
2097152    0.61600       0.59300       0.59400       0.59500       0.59500       0.59500       1.89700       1.82700       1.82900       1.83200       1.83300       1.83300      
4194304    0.58400       0.58100       0.58300       0.58500       0.58600       0.58600       1.79800       1.79000       1.79700       1.80300       1.80400       1.80400      
8388608    0.55900       0.55600       0.55900       0.56100       0.56400       0.56400       1.72000       1.71100       1.72000       1.72700       1.73600       1.73700      
