size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       34.47300      17.60600      12.71800      13.39700      14.82100      0.00000       106.16800     54.22300      39.16800      41.26000      45.64500      0.00000      
2048       27.36800      8.23500       4.24800       3.59300       3.17000       4.44800       84.28500      25.36200      13.08300      11.06600      9.76400       13.69900     
4096       24.21700      5.41500       2.29200       2.55900       2.18400       2.00000       74.58100      16.67600      7.05900       7.88100       6.72700       6.16000      
8192       20.44400      4.21000       2.09000       2.07400       2.06500       1.95700       62.96300      12.96500      6.43500       6.38600       6.35900       6.02600      
16384      4.17100       2.33700       2.00500       1.94600       2.02800       1.91600       12.84700      7.19800       6.17500       5.99300       6.24600       5.90100      
32768      3.63800       1.94700       1.87400       1.85300       1.85500       1.83800       11.20500      5.99600       5.77000       5.70600       5.71400       5.65900      
65536      3.08700       1.69900       1.63200       1.62800       1.61600       1.61900       9.50700       5.23300       5.02700       5.01300       4.97800       4.98600      
131072     1.97800       1.04000       1.11000       1.14800       1.16800       1.17700       6.09300       3.20400       3.41900       3.53500       3.59600       3.62600      
262144     1.65500       0.70100       0.71500       0.75300       0.79000       0.83000       5.09600       2.15800       2.20300       2.32000       2.43200       2.55600      
524288     1.39100       0.64000       0.63600       0.65300       0.67700       0.70400       4.28400       1.97200       1.95800       2.01100       2.08300       2.16800      
1048576    0.63100       0.61300       0.61000       0.61600       0.63300       0.65200       1.94400       1.88800       1.87900       1.89600       1.94800       2.00800      
2097152    0.61600       0.60300       0.60000       0.59900       0.60200       0.61900       1.89700       1.85700       1.84800       1.84400       1.85500       1.90700      
4194304    0.58400       0.58600       0.58500       0.58400       0.58400       0.58700       1.79800       1.80400       1.80100       1.79700       1.79800       1.80800      
8388608    0.55900       0.55400       0.55900       0.55900       0.56100       0.56100       1.72000       1.70600       1.72100       1.72300       1.72600       1.72800      
