size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.61400      18.20700      15.24900      13.93900      12.41700      0.00000       109.53100     55.99600      46.89700      42.87000      38.18900      0.00000      
2048       29.30600      14.43900      12.40100      12.33600      11.32200      11.53000      90.12900      44.40700      38.14000      37.93800      34.82100      35.46200     
4096       21.43700      9.89300       10.12000      10.46400      10.86500      11.01300      65.92900      30.42700      31.12400      32.18300      33.41600      33.87000     
8192       13.55500      5.11600       7.41000       9.38400       10.16800      10.67000      41.68800      15.73400      22.79000      28.86200      31.27000      32.81400     
16384      3.35000       2.37500       4.25500       7.30600       9.35000       10.01700      10.30400      7.30400       13.08700      22.46900      28.75600      30.80800     
32768      2.39300       1.77500       2.17300       4.17600       7.20400       8.72700       7.36100       5.46000       6.68200       12.84400      22.15500      26.84100     
65536      1.43400       1.34700       1.39700       1.76400       3.72200       4.73000       4.41000       4.14200       4.29600       5.42400       11.44600      14.54600     
131072     1.15700       1.05900       1.06800       1.06800       1.41800       2.11200       3.56000       3.25800       3.28300       3.28400       4.36300       6.49500      
262144     0.67700       0.62600       0.64400       0.67800       0.62200       0.97000       2.08300       1.92400       1.97900       2.08400       1.91400       2.98400      
524288     0.63500       0.59400       0.59500       0.59500       0.61500       0.61500       1.95300       1.82600       1.83100       1.83100       1.89100       1.89200      
1048576    0.58900       0.57600       0.57800       0.57900       0.58000       0.60000       1.81000       1.77100       1.77900       1.78200       1.78500       1.84600      
2097152    0.55600       0.54800       0.55100       0.55400       0.55400       0.55400       1.70900       1.68500       1.69500       1.70300       1.70300       1.70400      
4194304    0.48700       0.48600       0.49600       0.50400       0.50700       0.50800       1.49700       1.49400       1.52600       1.54900       1.55800       1.56100      
8388608    0.39100       0.37900       0.40300       0.40500       0.40600       0.40700       1.20400       1.16600       1.23800       1.24700       1.24900       1.25100      
