size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.61400      19.90000      16.81800      17.24500      20.05400      0.00000       109.53100     61.20100      51.72300      53.03600      61.67700      0.00000      
2048       29.30600      17.56300      16.48200      17.16600      19.55800      90.12900      54.01300      50.68900      52.79500      60.15000      0.00000       0.00000      
4096       21.43700      14.48600      15.23800      15.71400      16.43300      17.14900      65.92900      44.55200      46.86500      48.32900      50.54100      52.74000     
8192       13.55500      12.78600      15.51600      16.36500      41.68800      39.32300      47.71900      50.32900      0.00000       0.00000       0.00000       0.00000      
16384      3.35000       2.97000       11.92600      13.93000      15.25500      10.30400      9.13400       36.67800      42.84300      46.91600      0.00000       0.00000      
32768      2.39300       2.64400       6.68500       9.43600       12.67500      7.36100       8.13100       20.55900      29.02000      38.98300      0.00000       0.00000      
65536      1.43400       1.41600       1.42200       2.21300       4.82500       6.14200       4.41000       4.35400       4.37200       6.80700       14.83900      18.89000     
131072     1.15700       1.05900       1.09200       1.09300       1.88900       3.30500       3.56000       3.25800       3.36000       3.36000       5.80800       10.16300     
262144     0.67700       0.62600       0.64300       0.70200       0.64700       1.43800       2.08300       1.92400       1.97900       2.16000       1.98900       4.42300      
524288     0.63500       0.59400       0.59500       0.59500       0.64000       0.64000       1.95300       1.82600       1.83100       1.83100       1.96800       1.96800      
1048576    0.58900       0.57600       0.57900       0.58000       0.42400       1.81000       1.77100       1.78200       1.78500       1.28200       0.00000       0.00000      
2097152    0.55600       0.54800       0.55100       0.55400       0.32400       0.55400       1.70900       1.68500       1.69500       1.70300       0.97500       1.70400      
4194304    0.48700       0.48600       0.49600       0.50400       0.50700       0.50800       1.49700       1.49400       1.52600       1.54900       1.55800       1.56100      
8388608    0.39100       0.37900       0.40500       0.40600       0.40700       1.20400       1.16600       1.24700       1.24900       1.25100       0.00000       0.00000      
