size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.61400      21.08200      18.06500      15.35300      0.00000       109.53100     64.83900      55.55800      46.43400      0.00000       0.00000       0.00000      
2048       29.30600      15.21300      13.62500      14.45900      12.28100      4.66900       90.12900      46.78700      41.90400      44.46800      37.77000      14.35900     
4096       21.43700      8.83100       7.62000       8.85200       65.92900      27.15800      23.43500      27.22500      0.00000       0.00000       0.00000       0.00000      
8192       13.55500      3.59400       3.12200       3.12000       2.92500       1.96000       41.68800      11.05300      9.60100       9.59700       8.99600       6.02700      
16384      3.35000       2.06500       2.05600       2.36700       2.10300       1.86600       10.30400      6.35200       6.32500       7.28000       6.46700       5.73700      
32768      2.39300       1.71100       1.68800       1.05400       7.36100       5.26200       5.19000       3.19200       0.00000       0.00000       0.00000       0.00000      
65536      1.43400       1.28700       1.29500       1.29700       1.32100       1.32200       4.41000       3.95700       3.98200       3.98900       4.06300       4.06600      
131072     0.53900       1.00800       1.00700       1.01200       0.44300       1.63200       3.09900       3.09800       3.11400       1.33300       0.00000       0.00000      
262144     0.65500       0.68200       0.71000       0.46400       2.01500       2.09900       2.18400       1.40200       0.00000       0.00000       0.00000       0.00000      
524288     0.63500       0.60600       0.61400       0.61700       0.62300       1.95300       1.86300       1.88900       1.89900       1.91700       0.00000       0.00000      
1048576    0.58200       0.58200       0.58700       0.58900       1.79100       1.79000       1.80500       1.81200       0.00000       0.00000       0.00000       0.00000      
2097152    0.54500       0.55100       0.55200       0.55400       0.41700       1.67600       1.69400       1.69800       1.70500       1.26500       0.00000       0.00000      
4194304    0.48700       0.49100       0.49800       0.50500       0.50800       1.49700       1.50900       1.53200       1.55400       1.56400       0.00000       0.00000      
8388608    0.39100       0.39900       0.40700       0.42700       0.43300       0.43700       1.20400       1.22600       1.25200       1.31200       1.33200       1.34500      
