size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.05000      23.52100      23.04800      24.39700      27.68400      0.00000       86.25400      75.00300      73.49400      77.79500      88.27800      0.00000      
2048       19.99300      16.07400      15.51600      16.21500      17.80200      18.67300      63.75200      51.25500      49.47400      51.70500      56.76500      59.54300     
4096       13.48600      10.75800      10.06700      10.11200      10.89500      11.90200      43.00300      34.30500      32.10100      32.24400      34.74200      37.95200     
8192       9.24600       6.89800       6.56900       6.97300       7.51000       8.34900       29.48400      21.99600      20.94700      22.23500      23.94600      26.62300     
16384      7.36700       5.76300       5.55500       5.65200       6.40000       6.96300       23.49100      18.37600      17.71300      18.02200      20.40900      22.20300     
32768      5.69400       5.20900       5.16100       5.27200       5.44800       6.04800       18.15500      16.61000      16.45800      16.81200      17.37300      19.28700     
65536      5.22600       4.78500       4.82400       4.90200       4.99800       5.10100       16.66500      15.25700      15.38100      15.63000      15.93800      16.26500     
131072     4.60400       4.26400       4.20600       4.23200       4.30400       4.38400       14.68200      13.59700      13.41300      13.49600      13.72600      13.97900     
262144     4.20100       4.09100       4.06200       4.11000       4.16900       4.25800       13.39400      13.04500      12.95300      13.10500      13.29300      13.57800     
524288     4.07100       4.02300       4.05300       4.06200       4.11000       4.16900       12.98000      12.82900      12.92500      12.95300      13.10500      13.29300     
1048576    4.03300       4.02000       4.02300       4.05300       4.06200       4.11000       12.86100      12.81900      12.82900      12.92500      12.95300      13.10500     
2097152    4.03300       4.01900       4.02000       4.02300       4.05300       4.06200       12.86100      12.81500      12.81900      12.82900      12.92500      12.95300     
4194304    4.03300       4.01900       4.01900       4.02000       4.02300       4.05300       12.86100      12.81500      12.81500      12.81900      12.82900      12.92500     
8388608    4.03300       4.01900       4.01900       4.01900       4.02000       4.02300       12.86100      12.81500      12.81500      12.81500      12.81900      12.82900     
