size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.05000      23.14200      23.36300      22.67900      22.46800      0.00000       86.25400      73.79300      74.49700      72.31700      71.64500      0.00000      
2048       19.99300      16.62600      16.72100      16.97200      16.95200      16.82100      63.75200      53.01600      53.32000      54.12000      54.05600      53.63700     
4096       13.48600      11.42200      10.65700      10.48600      10.45800      10.40900      43.00300      36.42100      33.98300      33.43500      33.34800      33.19200     
8192       9.24600       7.40000       7.16100       6.96600       6.95700       7.00200       29.48400      23.59700      22.83300      22.21200      22.18400      22.32700     
16384      7.36700       5.98800       5.73400       5.70400       5.65200       5.65700       23.49100      19.09300      18.28400      18.18700      18.02200      18.04000     
32768      5.69400       5.27100       5.16000       5.14400       5.10800       5.10800       18.15500      16.80700      16.45300      16.40300      16.28800      16.28800     
65536      5.22600       4.80900       4.76500       4.76200       4.73300       4.74200       16.66500      15.33500      15.19300      15.18400      15.09200      15.11900     
131072     4.60400       4.37800       4.25200       4.25700       4.24000       4.22200       14.68200      13.96000      13.56000      13.57400      13.51900      13.46300     
262144     4.20100       4.09400       4.02000       4.01600       4.01600       4.01600       13.39400      13.05400      12.81900      12.80600      12.80600      12.80600     
524288     4.07100       4.01600       4.01600       4.01600       4.01600       4.01600       12.98000      12.80600      12.80600      12.80600      12.80600      12.80600     
1048576    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
2097152    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
4194304    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
8388608    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
