size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.05000      23.56200      23.11800      24.58600      28.87300      0.00000       86.25400      75.13200      73.71500      78.39700      92.06800      0.00000      
2048       19.99300      16.08500      15.54000      16.38000      18.17100      21.28700      63.75200      51.29100      49.55300      52.23000      57.94300      67.87800     
4096       13.48600      10.75500      10.38200      11.16400      11.92100      15.10700      43.00300      34.29500      33.10400      35.59700      38.01200      48.17300     
8192       9.24600       6.90400       6.57500       7.76100       8.95600       10.24600      29.48400      22.01400      20.96500      24.74600      28.56000      32.67200     
16384      7.36700       5.76300       5.56200       5.65600       7.02100       8.32800       23.49100      18.37600      17.73600      18.03500      22.38700      26.55400     
32768      5.69400       5.20700       5.16100       5.27400       5.45400       6.83000       18.15500      16.60500      16.45800      16.81700      17.39200      21.78000     
65536      5.22600       4.78300       4.82400       4.90500       4.99800       5.10600       16.66500      15.25300      15.38100      15.63900      15.93800      16.28300     
131072     4.60400       4.26400       4.20600       4.24000       4.30600       4.39000       14.68200      13.59700      13.41300      13.51900      13.73000      13.99700     
262144     4.20100       4.09100       4.06200       4.11000       4.17300       4.26000       13.39400      13.04500      12.95300      13.10500      13.30700      13.58300     
524288     4.07100       4.02300       4.05300       4.06200       4.11000       4.17300       12.98000      12.82900      12.92500      12.95300      13.10500      13.30700     
1048576    4.03300       4.02000       4.02300       4.05300       4.06200       4.11000       12.86100      12.81900      12.82900      12.92500      12.95300      13.10500     
2097152    4.03300       4.01900       4.02000       4.02300       4.05300       4.06200       12.86100      12.81500      12.81900      12.82900      12.92500      12.95300     
4194304    4.03300       4.01900       4.01900       4.02000       4.02300       4.05300       12.86100      12.81500      12.81500      12.81900      12.82900      12.92500     
8388608    4.03300       4.01900       4.01900       4.01900       4.02000       4.02300       12.86100      12.81500      12.81500      12.81500      12.81900      12.82900     
