size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.04100      22.14800      21.34900      20.77500      19.87200      0.00000       86.22600      70.62400      68.07600      66.24500      63.36600      0.00000      
2048       19.99000      15.48400      15.03500      14.89000      14.82200      14.82300      63.74300      49.37300      47.94300      47.47800      47.26200      47.26700     
4096       13.48600      10.64700      9.54900       9.10900       8.99700       8.68000       43.00300      33.95000      30.45000      29.04700      28.68800      27.67600     
8192       9.24600       6.89100       6.35900       6.03400       6.01100       6.00700       29.48400      21.97300      20.27600      19.24100      19.16700      19.15300     
16384      7.36700       5.72400       5.37500       5.28800       5.26500       5.26100       23.49100      18.25200      17.13900      16.86300      16.78900      16.77500     
32768      5.69400       5.14700       5.00800       4.97400       4.94600       4.95100       18.15500      16.41200      15.97000      15.86000      15.77200      15.78600     
65536      5.22600       4.74000       4.71000       4.70400       4.67700       4.67800       16.66500      15.11500      15.01800      15.00000      14.91200      14.91700     
131072     4.60400       4.23700       4.12000       4.09700       4.07200       4.05800       14.68200      13.50900      13.13700      13.06300      12.98500      12.93900     
262144     4.20100       4.06600       4.01700       4.01600       4.01600       4.01600       13.39400      12.96700      12.81000      12.80600      12.80600      12.80600     
524288     4.07100       4.01600       4.01600       4.01600       4.01600       4.01600       12.98000      12.80600      12.80600      12.80600      12.80600      12.80600     
1048576    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
2097152    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
4194304    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
8388608    4.03300       4.01600       4.01600       4.01600       4.01600       4.01600       12.86100      12.80600      12.80600      12.80600      12.80600      12.80600     
