size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.05000      24.09400      23.84500      23.16800      23.14600      0.00000       86.25400      76.82900      76.03300      73.87600      73.80700      0.00000      
2048       19.99300      17.08600      16.71900      16.73200      16.75900      16.76600      63.75200      54.48400      53.31100      53.35200      53.43900      53.46200     
4096       13.48600      11.46200      10.55800      10.47000      10.46000      10.41100      43.00300      36.54900      33.66500      33.38500      33.35200      33.19600     
8192       9.24600       7.67000       7.50700       7.26400       7.23000       7.18500       29.48400      24.45700      23.93700      23.16400      23.05400      22.91100     
16384      7.36700       6.24200       6.02700       6.06100       5.94900       5.89700       23.49100      19.90300      19.21800      19.32800      18.96900      18.80400     
32768      5.69400       5.41800       5.30000       5.32900       5.30400       5.33100       18.15500      17.27700      16.89900      16.99100      16.91300      17.00100     
65536      5.22600       4.89400       4.86800       4.84000       4.82900       4.87000       16.66500      15.60700      15.52400      15.43200      15.40000      15.52900     
131072     4.60400       4.40700       4.42000       4.51900       4.47600       4.49100       14.68200      14.05200      14.09400      14.41100      14.27300      14.31900     
262144     4.20100       4.21500       4.19600       4.25400       4.29900       4.24000       13.39400      13.44000      13.38100      13.56500      13.70700      13.51900     
524288     4.07100       4.04800       4.13400       4.14600       4.12600       4.12600       12.98000      12.90700      13.18300      13.22000      13.15500      13.15500     
1048576    4.03300       4.04800       4.03200       4.09400       4.06500       4.09700       12.86100      12.90700      12.85600      13.05400      12.96200      13.06300     
2097152    4.03300       4.03200       4.02600       4.05600       4.03200       4.03800       12.86100      12.85600      12.83800      12.93400      12.85600      12.87500     
4194304    4.03300       4.03200       4.02200       4.02200       4.03600       4.03800       12.86100      12.85600      12.82400      12.82400      12.87000      12.87500     
8388608    4.03300       4.03200       4.02200       4.01700       4.01700       4.03000       12.86100      12.85600      12.82400      12.81000      12.81000      12.85200     
