size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.02000      7.80100       8.18600       9.80600       13.59500      0.00000       35.71900      27.80900      29.17800      34.95400      48.46000      0.00000      
2048       8.21600       6.99300       7.25000       7.97400       9.49900       13.00800      29.28600      24.92600      25.84200      28.42500      33.85900      46.37000     
4096       7.04600       6.49700       6.62000       6.92300       7.48500       8.66000       25.11700      23.16000      23.59700      24.67700      26.68100      30.86900     
8192       4.51300       5.27900       5.51500       5.72500       5.88200       6.12200       16.08700      18.81900      19.65800      20.40800      20.96800      21.82200     
16384      3.57200       2.72000       2.55800       2.54800       2.53900       2.54700       12.73200      9.69400       9.11800       9.08400       9.04900       9.08000      
32768      3.03300       2.54100       2.48800       2.48800       2.48900       2.48900       10.81000      9.05900       8.86800       8.86900       8.87100       8.87200      
65536      2.76200       2.49200       2.47700       2.47500       2.47600       2.47700       9.84600       8.88400       8.83100       8.82400       8.82700       8.82900      
131072     2.62700       2.46700       2.46300       2.46700       2.46900       2.47000       9.36600       8.79300       8.78100       8.79200       8.80100       8.80600      
262144     2.50900       2.43900       2.44200       2.44400       2.44800       2.45100       8.94200       8.69500       8.70500       8.71300       8.72800       8.73800      
524288     2.42300       2.37100       2.38300       2.39000       2.39400       2.39800       8.63600       8.45100       8.49500       8.51800       8.53200       8.54800      
1048576    2.15200       2.20600       2.20200       2.22200       2.23100       2.23700       7.67200       7.86200       7.84800       7.92100       7.95300       7.97300      
2097152    1.38200       1.51900       1.63700       1.66800       1.70800       1.72700       4.92500       5.41400       5.83500       5.94400       6.08800       6.15600      
4194304    0.13500       0.18600       0.30200       0.45900       0.52000       0.57100       0.48100       0.66400       1.07700       1.63700       1.85400       2.03400      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00700       0.00700       0.00700       0.00700       0.00700      
