size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.02000      7.20000       6.72900       6.74500       6.75600       0.00000       35.71900      25.66600      23.98500      24.04400      24.08100      0.00000      
2048       8.21600       6.67400       6.55900       6.56400       6.56700       6.56800       29.28600      23.79000      23.38200      23.39800      23.40900      23.41400     
4096       7.04600       6.34400       6.36900       6.39700       6.41300       6.42000       25.11700      22.61300      22.70200      22.80300      22.85900      22.88600     
8192       4.51300       5.25100       5.56200       5.75200       5.82900       5.86500       16.08700      18.71600      19.82500      20.50200      20.77900      20.90600     
16384      3.57200       2.95500       2.94000       2.97800       2.98100       2.99400       12.73200      10.53400      10.47900      10.61500      10.62600      10.67200     
32768      3.03300       2.69400       2.68600       2.68600       2.69200       2.69500       10.81000      9.60200       9.57300       9.57500       9.59800       9.60800      
65536      2.76200       2.57300       2.57000       2.56900       2.56900       2.57100       9.84600       9.17200       9.16000       9.15600       9.15800       9.16500      
131072     2.62700       2.50900       2.50700       2.50700       2.50700       2.50700       9.36600       8.94200       8.93500       8.93600       8.93500       8.93600      
262144     2.50900       2.46000       2.46200       2.46400       2.46400       2.46400       8.94200       8.76800       8.77700       8.78300       8.78500       8.78200      
524288     2.42300       2.37900       2.38900       2.39300       2.39500       2.39500       8.63600       8.48000       8.51700       8.53000       8.53700       8.53700      
1048576    2.15200       2.20000       2.19200       2.20800       2.21100       2.21500       7.67200       7.84400       7.81500       7.87000       7.88200       7.89500      
2097152    1.38200       1.50400       1.60500       1.61500       1.64300       1.65400       4.92500       5.36100       5.72000       5.75700       5.85600       5.89700      
4194304    0.13500       0.14400       0.16100       0.23200       0.21800       0.25400       0.48100       0.51400       0.57300       0.82700       0.77900       0.90400      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00700       0.00700       0.00700       0.00700       0.00700      
