size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.02000      7.84600       8.23300       9.88900       17.26300      0.00000       35.71900      27.96900      29.34700      35.25100      61.53600      0.00000      
2048       8.21600       7.01900       7.29000       8.00900       9.55600       16.04600      29.28600      25.02000      25.98700      28.54800      34.06200      57.19600     
4096       7.04600       6.51400       6.65100       6.97500       7.54100       8.75700       25.11700      23.22100      23.70800      24.86300      26.88000      31.21400     
8192       4.51300       5.28500       5.54600       5.76200       5.94200       6.19300       16.08700      18.84000      19.76800      20.54100      21.17900      22.07700     
16384      3.57200       2.72400       2.56500       2.56900       2.56000       2.58900       12.73200      9.71100       9.14400       9.15700       9.12600       9.23000      
32768      3.03300       2.54500       2.48800       2.48800       2.50500       2.50600       10.81000      9.07100       8.86800       8.87000       8.92800       8.93300      
65536      2.76200       2.49700       2.47700       2.47600       2.47700       2.49300       9.84600       8.90200       8.83100       8.82500       8.82900       8.88600      
131072     2.62700       2.46700       2.46300       2.46800       2.47000       2.47100       9.36600       8.79300       8.78100       8.79700       8.80300       8.80700      
262144     2.50900       2.43900       2.44200       2.44400       2.45000       2.45200       8.94200       8.69500       8.70500       8.71400       8.73300       8.74000      
524288     2.42300       2.37100       2.38300       2.39000       2.39400       2.40000       8.63600       8.45100       8.49500       8.51800       8.53300       8.55300      
1048576    2.15200       2.20600       2.20200       2.22200       2.23100       2.23700       7.67200       7.86200       7.84800       7.92100       7.95300       7.97400      
2097152    1.38200       1.51900       1.63700       1.66800       1.70800       1.72700       4.92500       5.41400       5.83500       5.94400       6.08800       6.15600      
4194304    0.13500       0.18600       0.30200       0.45900       0.52000       0.57100       0.48100       0.66400       1.07700       1.63700       1.85500       2.03400      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00700       0.00700       0.00700       0.00700       0.00700      
