size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.02000      7.14800       6.61700       6.62500       6.62800       0.00000       35.71900      25.47800      23.58700      23.61500      23.62600      0.00000      
2048       8.21600       6.63400       6.49100       6.48600       6.48200       6.48300       29.28600      23.64900      23.13600      23.12100      23.10500      23.11000     
4096       7.04600       6.31400       6.29800       6.32600       6.33800       6.34400       25.11700      22.50600      22.44900      22.54900      22.59200      22.61400     
8192       4.51300       5.22000       5.41600       5.58000       5.63900       5.67300       16.08700      18.60700      19.30500      19.89100      20.10000      20.22100     
16384      3.57200       2.70300       2.55700       2.54700       2.53800       2.54600       12.73200      9.63400       9.11600       9.07900       9.04700       9.07500      
32768      3.03300       2.53700       2.49000       2.49000       2.49000       2.49000       10.81000      9.04400       8.87700       8.87600       8.87600       8.87700      
65536      2.76200       2.48900       2.47800       2.47700       2.47700       2.47800       9.84600       8.87300       8.83300       8.83000       8.83100       8.83200      
131072     2.62700       2.46700       2.46300       2.46300       2.46300       2.46300       9.36600       8.79400       8.77800       8.78100       8.78000       8.78000      
262144     2.50900       2.43900       2.44200       2.44400       2.44500       2.44600       8.94200       8.69500       8.70400       8.71100       8.71600       8.71800      
524288     2.42300       2.37100       2.38300       2.39000       2.39300       2.39500       8.63600       8.45100       8.49500       8.51800       8.53100       8.53700      
1048576    2.15200       2.20600       2.20200       2.22200       2.23100       2.23700       7.67200       7.86300       7.84900       7.92200       7.95400       7.97300      
2097152    1.38200       1.51900       1.63700       1.66800       1.70900       1.72800       4.92500       5.41500       5.83700       5.94700       6.09100       6.15800      
4194304    0.13500       0.18600       0.30200       0.45900       0.52000       0.57000       0.48100       0.66400       1.07700       1.63700       1.85400       2.03300      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00700       0.00700       0.00700       0.00700       0.00700      
