size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.02000      7.31400       6.59000       6.59700       6.74900       0.00000       35.71900      26.07100      23.49100      23.51500      24.05700      0.00000      
2048       8.21600       6.71400       6.33500       6.25300       6.36800       6.56800       29.28600      23.93400      22.58300      22.28900      22.69800      23.41200     
4096       7.04600       6.28300       5.93400       5.82600       5.86000       6.07900       25.11700      22.39600      21.15200      20.76800      20.88800      21.66800     
8192       4.51300       4.79500       5.01000       4.93200       4.90700       4.98100       16.08700      17.09100      17.85900      17.58000      17.49000      17.75500     
16384      3.57200       3.05600       3.47900       3.63100       3.64900       3.66800       12.73200      10.89200      12.40100      12.94300      13.00700      13.07500     
32768      3.03300       2.74800       2.70000       2.98900       3.15600       3.24600       10.81000      9.79600       9.62500       10.65600      11.24800      11.57200     
65536      2.76200       2.60000       2.57400       2.56400       2.82100       3.17600       9.84600       9.26800       9.17600       9.14100       10.05500      11.32300     
131072     2.62700       2.51700       2.50500       2.49900       2.49500       2.79200       9.36600       8.97200       8.92800       8.90800       8.89400       9.95200      
262144     2.50900       2.45000       2.44100       2.43700       2.43300       2.42700       8.94200       8.73400       8.70000       8.68700       8.67300       8.65100      
524288     2.42300       2.33100       2.31600       2.30700       2.30700       2.30000       8.63600       8.30800       8.25500       8.22300       8.22400       8.19900      
1048576    2.15200       2.05700       1.98200       1.95500       1.95200       1.95000       7.67200       7.33300       7.06300       6.97000       6.95700       6.95100      
2097152    1.38200       1.22600       1.17900       1.13700       1.12800       1.12300       4.92500       4.36800       4.20100       4.05300       4.01900       4.00300      
4194304    0.13500       0.12800       0.12700       0.12200       0.11700       0.11700       0.48100       0.45700       0.45100       0.43400       0.41700       0.41800      
8388608    0.00200       0.00200       0.00300       0.00300       0.00300       0.00300       0.00800       0.00900       0.01000       0.01000       0.01100       0.01100      
