size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.04100      23.49700      22.99600      23.97300      26.80700      0.00000       86.22600      74.92500      73.32900      76.44300      85.48100      0.00000      
2048       19.99000      16.00900      15.49800      16.17800      17.45300      18.32300      63.74300      51.04800      49.41900      51.58600      55.65200      58.42600     
4096       13.48600      10.73500      9.78400       9.79000       9.91000       10.76700      43.00300      34.23100      31.20000      31.21800      31.60000      34.33200     
8192       9.24600       6.89900       6.56200       6.69600       7.05500       7.98600       29.48400      22.00000      20.92400      21.35200      22.49700      25.46400     
16384      7.36700       5.75800       5.55100       5.63000       6.11800       6.61800       23.49100      18.36200      17.70000      17.95300      19.50700      21.10300     
32768      5.69400       5.20500       5.15100       5.26800       5.43800       5.79300       18.15500      16.59600      16.42600      16.79800      17.34100      18.47200     
65536      5.22600       4.78500       4.81800       4.89900       4.99400       5.09100       16.66500      15.25700      15.36300      15.62100      15.92400      16.23200     
131072     4.60400       4.26300       4.20100       4.23100       4.29400       4.37100       14.68200      13.59200      13.39400      13.49100      13.69300      13.93700     
262144     4.20100       4.08900       4.06200       4.10500       4.16700       4.25000       13.39400      13.04000      12.95300      13.09100      13.28900      13.55100     
524288     4.07100       4.02300       4.05300       4.06200       4.10500       4.16700       12.98000      12.82900      12.92500      12.95300      13.09100      13.28900     
1048576    4.03300       4.02000       4.02300       4.05300       4.06200       4.10500       12.86100      12.81900      12.82900      12.92500      12.95300      13.09100     
2097152    4.03300       4.01900       4.02000       4.02300       4.05300       4.06200       12.86100      12.81500      12.81900      12.82900      12.92500      12.95300     
4194304    4.03300       4.01900       4.01900       4.02000       4.02300       4.05300       12.86100      12.81500      12.81500      12.81900      12.82900      12.92500     
8388608    4.03300       4.01900       4.01900       4.01900       4.02000       4.02300       12.86100      12.81500      12.81500      12.81500      12.81900      12.82900     
