size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.18500      20.17800      10.21500      22.68000      0.00000       74.40500      63.89400      38.55400      71.37200      0.00000       0.00000       0.00000      
2048       16.35700      17.58900      1.87900       13.36000      14.09900      51.79500      58.72700      7.05100       42.01800      48.66100      0.00000       0.00000      
4096       7.62400       3.50100       2.34600       11.53500      12.55100      5.93700       25.09000      11.58900      7.76300       38.51300      41.90400      19.23700     
8192       1.48900       1.86100       0.57500       9.84900       0.43000       4.92700       6.23500       1.90400       32.88400      1.42400       0.00000       0.00000      
16384      2.11300       0.31200       0.29900       0.34800       6.99800       1.03100       1.03500       1.15300       0.00000       0.00000       0.00000       0.00000      
32768      2.09700       6.94100       0.27800       0.23900       0.32600       7.03800       23.17300      0.92000       0.83900       1.07800       0.00000       0.00000      
65536      0.25600       0.24000       0.24800       1.14400       0.15700       0.96800       0.84100       0.82200       3.76600       0.59100       0.00000       0.00000      
131072     0.62400       0.39500       5.46300       0.80100       0.08900       5.89900       2.34200       1.25000       18.23900      2.68900       0.33500       19.69400     
262144     0.28800       0.82500       0.08400       0.14100       5.13400       5.32300       0.95400       2.63800       0.31700       0.53300       17.14100      17.77300     
524288     0.82700       4.18900       0.23100       4.20400       4.32400       0.87400       2.62900       13.98700      0.76500       14.03700      14.43800      2.83100      
1048576    0.22600       0.22100       0.08100       0.24800       3.30900       0.35700       0.74800       0.73200       0.30500       0.82200       11.04900      1.13100      
2097152    0.08400       0.21300       0.21300       0.21500       0.31600       0.70500       0.70400       0.70700       0.00000       0.00000       0.00000       0.00000      
4194304    0.17400       0.20300       0.20400       0.63200       0.67300       0.67500       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.95600       0.19200       0.42200       0.19700       0.20200       3.19300       0.63600       1.32600       0.65200       0.67100       0.00000       0.00000      
