size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       30.32600      26.96400      25.67600      25.02500      24.59300      0.00000       101.25300     90.02700      85.72800      83.55300      82.11200      0.00000      
2048       22.64500      20.42300      20.18800      20.65400      21.06100      21.23800      75.60800      68.18800      67.40300      68.96000      70.31800      70.90800     
4096       17.59800      14.46400      13.71200      12.85700      12.63700      12.45900      58.75600      48.29300      45.78100      42.92700      42.19200      41.59800     
8192       12.63000      10.94600      9.63000       9.38800       9.29000       9.28300       42.16900      36.54700      32.15300      31.34300      31.01600      30.99400     
16384      10.02100      8.32000       8.07500       7.96900       7.96000       7.95500       33.45700      27.78000      26.96100      26.60600      26.57600      26.56100     
32768      8.40800       7.12600       6.96700       6.93200       6.91100       6.90600       28.07200      23.79100      23.26000      23.14400      23.07400      23.05700     
65536      7.23100       6.30200       6.15100       6.08200       6.05900       6.04700       24.14400      21.04100      20.53800      20.30600      20.23000      20.19000     
131072     6.23200       5.65800       5.54100       5.50300       5.48500       5.47700       20.80600      18.89100      18.50100      18.37400      18.31500      18.28500     
262144     5.31400       5.02600       4.95800       4.92500       4.90300       4.89000       17.74200      16.78200      16.55400      16.44300      16.37000      16.32600     
524288     4.46000       4.25500       4.21000       4.17200       4.13600       4.11600       14.89200      14.20700      14.05700      13.92800      13.80800      13.74200     
1048576    3.65900       3.33200       3.27500       3.25600       3.24500       3.23800       12.21700      11.12400      10.93600      10.87100      10.83500      10.81100     
2097152    2.69900       2.39000       2.26400       2.18600       2.14700       2.12600       9.01200       7.97900       7.55800       7.29800       7.16800       7.10000      
4194304    1.83100       1.41100       1.26600       1.19100       1.12000       1.07900       6.11300       4.71100       4.22600       3.97700       3.74000       3.60200      
8388608    0.95600       0.61900       0.45400       0.36300       0.31500       0.28400       3.19200       2.06700       1.51400       1.21200       1.05100       0.94800      
