size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.56000      18.39600      18.46400      20.83400      21.05800      0.00000       93.86200      60.88700      61.11300      65.84600      69.69900      0.00000      
2048       12.69500      19.40000      18.11500      11.36600      21.89100      31.06200      42.01800      64.77200      60.48200      39.90300      73.08900      103.64600    
4096       7.57000       13.68800      2.73900       9.81500       4.97900       20.62100      25.05700      45.70200      9.64500       31.18000      16.47800      68.84800     
8192       3.82100       2.36400       0.68700       0.65400       0.81200       1.26100       12.57500      8.35500       2.27500       2.30500       2.68800       4.17500      
16384      2.99100       0.44400       0.32100       0.38600       0.42900       0.70200       10.33800      1.46900       1.06100       1.37200       1.53200       2.32200      
32768      1.50600       0.31100       6.88900       0.24700       7.38800       0.36800       4.99400       1.07900       23.00200      0.88100       24.66700      1.21700      
65536      0.74000       0.26300       0.24900       0.26600       0.36300       6.92600       2.60700       0.91000       0.82300       0.88100       1.20300       23.12400     
131072     0.53800       0.21900       0.24200       0.23800       0.26000       0.32700       1.78200       0.77400       0.79900       0.82800       0.86200       1.08200      
262144     0.67700       0.20500       0.24400       0.20900       0.23800       0.27700       2.27800       0.73100       0.81000       0.74100       0.78600       0.91800      
524288     0.22600       0.22500       0.23000       0.31600       0.31800       0.20700       0.79400       0.78700       0.75900       1.04800       1.05200       0.73500      
1048576    0.22600       0.22100       0.22100       0.23400       0.23300       0.22200       0.74800       0.73200       0.73100       0.81200       0.81000       0.73400      
2097152    0.21600       0.21400       0.20300       2.37900       0.21300       0.23200       0.71600       0.70800       0.71400       7.94100       0.70500       0.80200      
4194304    0.21800       0.20400       0.21100       0.20300       0.20500       0.25500       0.75800       0.67600       0.73400       0.67300       0.67400       0.84400      
8388608    0.19400       0.18100       0.33100       0.19100       0.34300       0.36600       0.68200       0.65000       1.11100       0.63400       1.15000       1.22800      
