size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.35100      13.72900      22.78600      0.00000       54.18000      45.43900      76.07600      0.00000       0.00000       0.00000       0.00000       0.00000      
2048       12.75000      8.22800       4.93800       3.09500       19.30000      16.44200      42.22600      27.23200      16.34400      11.24300      64.43700      53.80100     
4096       10.05700      5.29800       2.43900       10.65900      9.95100       9.34700       35.37600      17.44400      8.06100       35.58800      33.22300      31.20600     
8192       3.82200       1.37800       0.55700       0.50400       8.04700       4.65400       12.57600      4.55900       1.84400       1.66900       26.86800      14.88800     
16384      2.08400       0.49600       0.29100       2.25400       7.34200       0.30000       6.89600       1.64400       0.96400       7.37600       24.51200      1.03500      
32768      7.38700       0.29400       0.26200       0.62200       0.26000       0.31000       24.31800      0.97400       0.86700       2.08400       0.85900       1.02800      
65536      0.59000       6.12700       0.24800       0.24600       0.24500       5.79800       1.94200       20.45800      0.82000       0.81500       0.80500       19.35900     
131072     0.59600       0.25300       0.24900       0.32900       0.19600       0.77100       1.97300       0.83800       0.82400       1.09100       0.70400       2.59200      
262144     0.27600       0.23800       0.61800       0.23600       0.31200       0.26800       0.91400       0.78900       2.07700       0.78000       1.03300       0.88800      
524288     0.23900       4.22400       0.23600       0.23800       4.14700       0.79000       14.10200      0.78300       0.78800       13.84600      0.00000       0.00000      
1048576    3.46000       0.28900       0.18600       0.43000       0.65100       0.43000       11.38900      0.95800       0.67200       1.44300       2.14500       1.44200      
2097152    0.21600       0.17700       0.18400       0.51400       2.40900       2.41000       0.71600       0.64300       0.66400       1.63200       7.93000       7.93400      
4194304    0.53800       0.20500       0.41800       0.20300       1.31100       0.20200       1.72000       0.67400       1.40400       0.66800       4.31400       0.66800      
8388608    0.17600       0.17200       0.19000       0.31400       0.29100       0.36700       0.63600       0.62500       0.63000       1.05400       0.95700       1.17000      
