size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.04200      28.10900      16.18700      19.46600      0.00000       89.50500      93.84900      57.41600      61.41200      0.00000       0.00000       0.00000      
2048       12.69300      20.71500      19.64500      7.53300       6.88800       42.01200      69.16300      65.59200      26.00000      23.93700      0.00000       0.00000      
4096       17.92500      4.07400       8.60100       2.87000       2.37100       59.84600      12.89700      27.05200      9.08600       8.21300       0.00000       0.00000      
8192       4.83900       1.94000       0.66100       0.50400       6.14100       0.38400       17.16300      6.78100       2.18800       1.80800       19.32600      1.41600      
16384      2.66000       0.49800       0.32400       7.99300       0.33500       0.34800       9.41600       1.64000       1.16100       26.68800      1.17900       1.21800      
32768      1.94000       0.32700       0.28200       6.89400       6.86000       0.30900       6.86900       1.07600       0.99000       23.01800      22.90400      1.06900      
65536      0.58500       0.30100       0.43300       0.25800       6.06300       0.18100       1.93800       0.99600       1.37000       0.90200       20.24300      0.66900      
131072     0.64600       0.41400       5.49900       5.45600       5.44000       2.30900       1.31100       18.36000      18.21600      18.16100      0.00000       0.00000      
262144     0.25500       4.95000       0.19600       4.80000       0.81300       0.25300       0.84200       16.52600      0.70900       16.02800      2.63500       0.87400      
524288     0.23900       0.23400       4.01800       0.19000       0.23600       0.77000       0.79000       0.81600       13.41600      0.68700       0.78100       2.42400      
1048576    0.22600       0.22500       0.22900       0.22500       0.24300       0.22900       0.74800       0.74400       0.79900       0.78500       0.84000       0.75900      
2097152    0.19400       0.21600       0.19000       0.22800       0.69400       0.71400       0.68100       0.79100       0.00000       0.00000       0.00000       0.00000      
4194304    0.22000       0.20100       1.17900       0.18300       1.06700       0.54400       0.76200       0.70800       3.93800       0.66100       3.56300       1.80800      
8388608    0.95600       0.60400       0.44900       0.22800       0.33700       3.19300       2.01400       1.49900       0.75500       1.12700       0.00000       0.00000      
