size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       28.09800      21.81700      20.30400      20.83000      22.03700      0.00000       93.56300      72.64800      67.61100      69.36300      73.38000      0.00000      
2048       18.86200      14.85500      13.10300      12.90300      13.43000      14.40800      62.80900      49.46700      43.63100      42.96400      44.72000      47.97800     
4096       14.15700      10.07200      8.91600       8.48000       8.87400       9.66500       47.14000      33.53700      29.68900      28.23700      29.54800      32.18500     
8192       10.40100      7.78500       6.81400       6.80200       7.03600       7.54300       34.63300      25.92400      22.69100      22.65000      23.42900      25.11600     
16384      8.11300       6.34600       5.86700       5.78300       5.86200       6.04700       27.01500      21.13100      19.53500      19.25500      19.51900      20.13800     
32768      6.68100       5.02500       4.81000       4.64700       4.60500       4.69100       22.24700      16.73200      16.01600      15.47300      15.33400      15.62200     
65536      4.80000       4.14300       3.86600       3.81800       3.84800       3.91900       15.98300      13.79700      12.87300      12.71400      12.81400      13.05100     
131072     4.07300       3.54900       3.46100       3.47400       3.51700       3.56100       13.56400      11.81900      11.52400      11.56800      11.71200      11.85800     
262144     3.38300       3.15000       3.08400       3.08700       3.12100       3.16700       11.26400      10.48900      10.27000      10.27900      10.39200      10.54400     
524288     2.95700       2.73800       2.71200       2.75300       2.80600       2.85800       9.84800       9.11800       9.03000       9.16900       9.34300       9.51800      
1048576    2.51000       2.34100       2.34100       2.40300       2.47700       2.53700       8.35800       7.79400       7.79400       8.00200       8.24900       8.44900      
2097152    1.90500       1.74900       1.72700       1.74500       1.81200       1.89400       6.34500       5.82500       5.75000       5.81200       6.03300       6.30600      
4194304    1.24400       0.99400       0.84500       0.71200       0.61800       0.58600       4.14400       3.30900       2.81400       2.37000       2.05800       1.95100      
8388608    0.69900       0.44700       0.32400       0.26700       0.24500       0.24400       2.32900       1.48800       1.08000       0.89100       0.81600       0.81200      
