size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       28.09800      22.84700      21.59600      21.26500      21.11800      0.00000       93.56300      76.07700      71.91200      70.81100      70.32100      0.00000      
2048       18.86200      15.81600      15.10500      15.17300      15.45200      15.66400      62.80900      52.66700      50.29700      50.52600      51.45400      52.16000     
4096       14.15700      10.91100      10.28400      9.70200       9.62500       9.69800       47.14000      36.33200      34.24400      32.30600      32.05100      32.29200     
8192       10.40100      8.46100       7.57300       7.41600       7.36500       7.35800       34.63300      28.17500      25.21600      24.69300      24.52500      24.50000     
16384      8.11300       6.87900       6.59000       6.58100       6.60200       6.61500       27.01500      22.90500      21.94400      21.91300      21.98400      22.02900     
32768      6.68100       5.25100       5.31000       5.41500       5.46900       5.50100       22.24700      17.48500      17.68100      18.03100      18.21200      18.31800     
65536      4.80000       4.22100       4.00900       3.92300       3.90400       3.90300       15.98300      14.05700      13.34800      13.06200      13.00100      12.99600     
131072     4.07300       3.67200       3.60200       3.59200       3.58900       3.58700       13.56400      12.22900      11.99600      11.96000      11.95200      11.94400     
262144     3.38300       3.22900       3.17500       3.15800       3.15300       3.14700       11.26400      10.75300      10.57400      10.51500      10.50000      10.48000     
524288     2.95700       2.76500       2.69500       2.65300       2.63300       2.62100       9.84800       9.20800       8.97400       8.83500       8.76800       8.72900      
1048576    2.51000       2.34600       2.30000       2.29600       2.29700       2.29900       8.35800       7.81100       7.65900       7.64600       7.64700       7.65500      
2097152    1.90500       1.76000       1.72700       1.69400       1.66400       1.63900       6.34500       5.86200       5.75000       5.63900       5.54100       5.45900      
4194304    1.24400       1.01200       0.88600       0.77900       0.70800       0.67500       4.14400       3.37000       2.95000       2.59500       2.35800       2.24600      
8388608    0.69900       0.46200       0.34800       0.29100       0.26400       0.25500       2.32900       1.53900       1.15800       0.97000       0.87800       0.84800      
