size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       28.33300      18.60200      18.46400      18.97700      23.70000      0.00000       97.79100      61.21600      61.11300      63.76100      79.44800      0.00000      
2048       13.28600      15.67000      7.74800       15.31400      14.85700      20.21100      44.01300      52.18000      25.67200      50.99400      47.52700      69.88400     
4096       7.57000       3.74600       2.45000       10.23900      4.97900       6.68200       25.05700      12.32600      8.11100       34.09400      16.47800      22.12900     
8192       4.47800       2.35800       0.84300       0.60700       0.81100       3.71000       14.83500      8.20500       2.79500       2.01100       2.68600       12.38300     
16384      2.27100       0.44400       1.72000       0.37000       0.44600       1.30600       7.52400       1.46900       5.74000       1.29800       1.48000       4.60900      
32768      1.99500       1.19700       0.36000       5.88500       0.35600       0.35000       7.00300       4.02000       1.19200       19.59800      1.17300       1.21700      
65536      0.58500       0.60100       0.23400       5.33400       0.36300       5.83000       1.93800       2.01400       0.81800       17.76200      1.20300       19.41400     
131072     1.55800       0.27800       0.78900       0.24100       0.31500       0.36200       4.90200       0.92200       2.63500       0.79100       1.04300       1.19900      
262144     0.25400       0.63400       3.47600       0.32500       0.22100       0.84200       2.13200       11.57600      1.07800       0.77700       0.00000       0.00000      
524288     2.95700       0.71900       2.85200       0.23400       3.08700       9.84700       2.31500       9.49800       0.81300       10.27900      0.00000       0.00000      
1048576    2.51000       0.21700       0.65800       0.22600       0.22600       0.28900       8.35700       0.76300       2.16700       0.74900       0.75000       0.95800      
2097152    0.41900       1.75400       1.74200       0.40100       0.24500       0.59900       1.40900       5.84100       5.80200       1.34700       0.81400       1.96400      
4194304    0.25200       0.20400       0.22400       0.20300       0.42200       0.22000       0.83500       0.67600       0.74000       0.67300       1.41700       0.76000      
8388608    0.70000       0.34100       0.19200       0.19200       0.21600       0.19200       2.32900       1.14600       0.63600       0.63400       0.71600       0.63600      
