size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       28.09800      21.57600      19.55000      18.63300      18.18500      0.00000       93.56300      71.84700      65.09800      62.04700      60.55500      0.00000      
2048       18.86200      14.82400      13.51200      13.32800      13.62100      13.78300      62.80900      49.36400      44.99300      44.38000      45.35700      45.89700     
4096       14.15700      10.21200      9.05100       8.10800       7.77800       7.70400       47.14000      34.00500      30.14000      26.99800      25.89900      25.65400     
8192       10.40100      8.03700       6.91900       6.69900       6.66200       6.65300       34.63300      26.76300      23.03900      22.30800      22.18400      22.15500     
16384      8.11300       6.60800       6.23300       6.21600       6.22900       6.24200       27.01500      22.00300      20.75500      20.70000      20.74100      20.78600     
32768      6.68100       5.07200       5.07400       5.15400       5.19400       5.21300       22.24700      16.89000      16.89500      17.16200      17.29500      17.35800     
65536      4.80000       4.09900       3.83600       3.72800       3.70000       3.69500       15.98300      13.64900      12.77400      12.41300      12.32000      12.30500     
131072     4.07300       3.59100       3.50600       3.49300       3.49100       3.49100       13.56400      11.95700      11.67500      11.63100      11.62500      11.62400     
262144     3.38300       3.19400       3.13700       3.12700       3.13500       3.14200       11.26400      10.63700      10.44500      10.41100      10.43900      10.46100     
524288     2.95700       2.75300       2.67800       2.63500       2.61000       2.59400       9.84800       9.16900       8.91900       8.77500       8.69100       8.63800      
1048576    2.51000       2.34200       2.29500       2.28700       2.28700       2.28800       8.35800       7.80000       7.64300       7.61700       7.61500       7.61900      
2097152    1.90500       1.76100       1.72800       1.72100       1.73300       1.74700       6.34500       5.86500       5.75200       5.73100       5.76900       5.81800      
4194304    1.24400       1.00700       0.86600       0.73800       0.63200       0.58300       4.14400       3.35300       2.88200       2.45700       2.10400       1.94000      
8388608    0.69900       0.45300       0.32900       0.26700       0.23900       0.23200       2.32900       1.50800       1.09500       0.88800       0.79600       0.77100      
