size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       29.36900      18.63400      16.57200      14.97800      15.35500      0.00000       92.42000      61.59700      57.32500      50.21100      53.23500      0.00000      
2048       19.43900      16.48100      7.05800       7.09600       7.06900       6.65300       64.73000      54.88000      24.72800      23.81700      24.45600      23.06700     
4096       14.42200      3.30400       2.69000       9.65700       2.25600       2.54200       48.02200      10.93400      8.90800       32.15600      7.46800       8.06300      
8192       10.56100      8.42900       1.35800       0.74100       7.42500       7.35800       35.16600      28.06700      4.56000       2.45600       24.72600      24.47700     
16384      2.08400       6.72700       0.31200       1.56000       0.39000       6.89800       22.40200      1.11300       5.16700       1.34700       0.00000       0.00000      
32768      1.50400       0.32700       4.95400       0.67700       4.88500       0.30900       4.97800       1.07600       16.49600      2.26900       16.26600      1.07000      
65536      0.58500       4.19600       0.43300       1.12100       0.26800       1.93800       13.97300      1.37000       3.54300       0.88700       0.00000       0.00000      
131072     0.53900       0.34000       0.25400       3.54500       0.59000       1.78300       1.12500       0.84000       11.80600      1.98600       0.00000       0.00000      
262144     3.38700       0.24600       0.77000       3.08800       0.24400       0.38900       11.27900      0.81500       2.57100       10.28400      0.80600       1.23100      
524288     0.23500       0.23600       0.25700       2.63300       0.23900       0.77200       0.78100       0.85000       8.76700       0.83200       0.00000       0.00000      
1048576    0.22600       2.30000       0.67400       0.22800       0.59900       2.22700       0.74800       7.65900       2.17000       0.75500       2.00900       7.41700      
2097152    0.23100       0.21800       0.21100       0.23900       0.22000       0.76700       0.72100       0.74100       0.82500       0.72600       0.00000       0.00000      
4194304    0.20600       0.97300       0.83500       0.22200       0.20800       0.67100       0.68300       3.24000       2.78100       0.73600       0.69000       2.23400      
8388608    0.20500       0.45900       0.20500       0.19600       0.29300       0.21100       0.71300       1.53000       0.68000       0.65100       0.97400       0.73000      
