size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.65500      19.39500      12.91600      10.86900      8.00500       0.00000       89.37300      73.27800      48.79900      41.06500      30.24400      0.00000      
2048       12.11000      5.17300       3.08700       0.90200       0.89000       1.03100       45.75400      19.54300      11.66400      3.40900       3.36200       3.89500      
4096       7.86700       1.75600       0.74100       0.59800       0.61500       0.65800       29.72300      6.63600       2.79800       2.25900       2.32500       2.48800      
8192       5.47700       0.55400       0.25300       0.25700       0.28400       0.31700       20.69400      2.09400       0.95700       0.97200       1.07200       1.19700      
16384      0.59600       0.17700       0.11900       0.11700       0.12100       0.13400       2.25000       0.67000       0.45000       0.44000       0.45900       0.50600      
32768      0.37700       0.10800       0.10000       0.10200       0.10300       0.10800       1.42400       0.40600       0.38000       0.38400       0.38900       0.40800      
65536      0.25200       0.09500       0.09400       0.09400       0.09500       0.09800       0.95300       0.36000       0.35400       0.35600       0.35900       0.36900      
131072     0.11300       0.08800       0.08700       0.08800       0.08900       0.09000       0.42800       0.33300       0.33000       0.33200       0.33400       0.34000      
262144     0.10000       0.08500       0.08300       0.08300       0.08400       0.08500       0.37800       0.32100       0.31400       0.31500       0.31700       0.32100      
524288     0.08700       0.08100       0.08100       0.08100       0.08100       0.08200       0.33000       0.30600       0.30600       0.30500       0.30700       0.31000      
1048576    0.08500       0.08000       0.08100       0.08100       0.08100       0.08100       0.32100       0.30400       0.30400       0.30500       0.30500       0.30700      
2097152    0.08300       0.08000       0.08000       0.08100       0.08100       0.08100       0.31500       0.30300       0.30400       0.30400       0.30500       0.30500      
4194304    0.08000       0.08000       0.08000       0.08000       0.08100       0.08100       0.30400       0.30300       0.30300       0.30400       0.30400       0.30500      
8388608    0.08000       0.08000       0.08000       0.08000       0.08000       0.08100       0.30400       0.30300       0.30300       0.30300       0.30400       0.30400      
