size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.49800      21.21200      19.98600      28.99600      17.03000      0.00000       81.22500      80.14400      75.51400      109.55500     64.34500      0.00000      
2048       13.27500      5.12300       3.30800       1.38400       1.33900       1.35800       50.15500      19.35500      12.49900      5.22900       5.05900       5.13300      
4096       7.96800       1.87600       0.79400       0.76800       0.76500       0.76700       30.10500      7.08600       3.00200       2.90300       2.88900       2.89900      
8192       5.48700       0.53600       0.31300       0.29500       0.30700       0.29700       20.73000      2.02600       1.18300       1.11500       1.15800       1.12200      
16384      0.61000       0.19800       0.13500       0.13000       0.13000       0.13000       2.30700       0.74600       0.51000       0.49100       0.49200       0.49300      
32768      0.39400       0.11300       0.10600       0.10500       0.10500       0.10500       1.48900       0.42700       0.40100       0.39600       0.39600       0.39500      
65536      0.25000       0.09800       0.09600       0.09500       0.09500       0.09500       0.94400       0.37000       0.36100       0.36000       0.35900       0.35900      
131072     0.11200       0.09000       0.08800       0.08800       0.08700       0.08800       0.42200       0.33900       0.33300       0.33200       0.33000       0.33100      
262144     0.09900       0.08600       0.08300       0.08300       0.08300       0.08300       0.37300       0.32400       0.31500       0.31500       0.31400       0.31300      
524288     0.08700       0.08100       0.08100       0.08000       0.08000       0.08000       0.33000       0.30700       0.30600       0.30400       0.30400       0.30300      
1048576    0.08500       0.08100       0.08000       0.08000       0.08000       0.08000       0.32100       0.30400       0.30300       0.30300       0.30300       0.30300      
2097152    0.08300       0.08000       0.08000       0.08000       0.08000       0.08000       0.31500       0.30300       0.30300       0.30300       0.30300       0.30300      
4194304    0.08000       0.08000       0.08000       0.08000       0.08000       0.08000       0.30400       0.30300       0.30300       0.30300       0.30300       0.30300      
8388608    0.08000       0.08000       0.08000       0.08000       0.08000       0.08000       0.30400       0.30300       0.30300       0.30300       0.30300       0.30300      
