size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.65500      21.69000      18.71500      18.47900      20.35600      0.00000       89.37300      81.95100      70.71000      69.81700      76.91100      0.00000      
2048       12.11000      5.67100       7.06500       7.13300       16.10300      18.39000      45.75400      21.42600      26.69500      26.95000      60.84200      69.48100     
4096       7.86700       3.81600       2.94000       4.78300       6.85900       10.37600      29.72300      14.41700      11.10700      18.07100      25.91600      39.20200     
8192       5.47700       1.92500       1.15200       1.04000       2.61600       5.33100       20.69400      7.27400       4.35400       3.92800       9.88400       20.14300     
16384      0.59600       0.27500       0.13200       0.88200       0.89900       2.47500       2.25000       1.03800       0.49700       3.33100       3.39800       9.35200      
32768      0.37700       0.10800       0.10100       0.11400       0.86900       0.88100       1.42400       0.40700       0.38000       0.43100       3.28300       3.32900      
65536      0.25200       0.09600       0.09400       0.09400       0.10800       0.86300       0.95300       0.36100       0.35500       0.35600       0.40700       3.25900      
131072     0.11300       0.08800       0.08700       0.08800       0.08900       0.10200       0.42800       0.33300       0.33000       0.33300       0.33500       0.38700      
262144     0.10000       0.08500       0.08300       0.08300       0.08400       0.08500       0.37800       0.32100       0.31400       0.31500       0.31800       0.32100      
524288     0.08700       0.08100       0.08100       0.08100       0.08100       0.08200       0.33000       0.30600       0.30600       0.30500       0.30700       0.31100      
1048576    0.08500       0.08000       0.08100       0.08100       0.08100       0.08100       0.32100       0.30400       0.30400       0.30500       0.30500       0.30700      
2097152    0.08300       0.08000       0.08000       0.08100       0.08100       0.08100       0.31500       0.30300       0.30400       0.30400       0.30500       0.30500      
4194304    0.08000       0.08000       0.08000       0.08000       0.08100       0.08100       0.30400       0.30300       0.30300       0.30400       0.30400       0.30500      
8388608    0.08000       0.08000       0.08000       0.08000       0.08000       0.08100       0.30400       0.30300       0.30300       0.30300       0.30400       0.30400      
