size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.65500      22.13300      18.65200      22.97000      21.87400      0.00000       89.37300      83.62600      70.47400      86.78700      82.64700      0.00000      
2048       12.11000      5.81600       3.80000       0.89700       0.74500       0.73900       45.75400      21.97300      14.35800      3.39000       2.81500       2.79000      
4096       7.86700       1.46300       0.81500       0.56700       0.56600       0.56900       29.72300      5.52600       3.07900       2.14200       2.14000       2.14800      
8192       5.47700       0.49500       0.24700       0.24500       0.25600       0.26200       20.69400      1.86900       0.93500       0.92500       0.96700       0.99100      
16384      0.59600       0.17200       0.11700       0.11000       0.11000       0.11000       2.25000       0.65100       0.44100       0.41700       0.41600       0.41500      
32768      0.37700       0.10800       0.09900       0.09800       0.09700       0.09700       1.42400       0.40600       0.37300       0.37000       0.36800       0.36700      
65536      0.25200       0.09400       0.09200       0.09200       0.09200       0.09100       0.95300       0.35700       0.34900       0.34700       0.34600       0.34500      
131072     0.11300       0.08800       0.08700       0.08600       0.08600       0.08600       0.42800       0.33200       0.32700       0.32600       0.32500       0.32500      
262144     0.10000       0.08500       0.08300       0.08200       0.08200       0.08200       0.37800       0.32000       0.31300       0.31100       0.31100       0.31000      
524288     0.08700       0.08100       0.08000       0.08000       0.08000       0.08000       0.33000       0.30500       0.30400       0.30300       0.30300       0.30300      
1048576    0.08500       0.08000       0.08000       0.08000       0.08000       0.08000       0.32100       0.30400       0.30300       0.30300       0.30300       0.30300      
2097152    0.08300       0.08000       0.08000       0.08000       0.08000       0.08000       0.31500       0.30300       0.30300       0.30300       0.30300       0.30300      
4194304    0.08000       0.08000       0.08000       0.08000       0.08000       0.08000       0.30400       0.30300       0.30300       0.30300       0.30300       0.30300      
8388608    0.08000       0.08000       0.08000       0.08000       0.08000       0.08000       0.30400       0.30300       0.30300       0.30300       0.30300       0.30300      
