size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.49800      19.79300      14.44900      15.12000      14.95800      0.00000       81.22500      74.78200      54.59200      57.12800      56.51600      0.00000      
2048       13.27500      4.59200       2.64500       1.42200       1.35800       1.35300       50.15500      17.35100      9.99200       5.37400       5.13200       5.11200      
4096       7.96800       1.67500       0.74600       0.70700       0.69400       0.71300       30.10500      6.33000       2.81900       2.67100       2.62200       2.69300      
8192       5.48700       0.52200       0.29300       0.25500       0.24600       0.24200       20.73000      1.97200       1.10800       0.96500       0.93100       0.91300      
16384      0.61000       0.20300       0.14100       0.13500       0.13600       0.13400       2.30700       0.76800       0.53100       0.51100       0.51200       0.50700      
32768      0.39400       0.11800       0.11000       0.11100       0.11000       0.11100       1.48900       0.44400       0.41600       0.42000       0.41600       0.42000      
65536      0.25000       0.10100       0.09800       0.09900       0.09800       0.09900       0.94400       0.38200       0.37000       0.37300       0.37100       0.37400      
131072     0.11200       0.09300       0.09100       0.09100       0.09200       0.09100       0.42200       0.35000       0.34400       0.34400       0.34700       0.34500      
262144     0.09900       0.08800       0.08600       0.08600       0.08500       0.08700       0.37300       0.33200       0.32600       0.32600       0.32200       0.32800      
524288     0.08700       0.08300       0.08300       0.08300       0.08400       0.08300       0.33000       0.31500       0.31400       0.31400       0.31600       0.31400      
1048576    0.08500       0.08300       0.08200       0.08200       0.08200       0.08200       0.32100       0.31200       0.31100       0.30900       0.30800       0.31000      
2097152    0.08300       0.08200       0.08100       0.08200       0.08100       0.08100       0.31500       0.31000       0.30500       0.30900       0.30700       0.30600      
4194304    0.08000       0.08200       0.08100       0.08100       0.08100       0.08100       0.30400       0.31000       0.30600       0.30600       0.30500       0.30400      
8388608    0.08000       0.08000       0.08000       0.08100       0.08100       0.08000       0.30400       0.30400       0.30400       0.30500       0.30500       0.30400      
