size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.07000      12.71000      10.21700      12.07500      29.97500      0.00000       105.04300     49.32200      39.64500      46.85700      116.31900     0.00000      
2048       22.69500      9.80800       8.87600       9.36100       11.26100      24.28900      88.06600      38.06000      34.44100      36.32600      43.69900      94.25400     
4096       9.59000       7.95200       7.69600       7.84500       8.05100       9.47600       37.21500      30.85700      29.86400      30.44300      31.24300      36.77200     
8192       7.39200       6.37200       6.52200       7.06000       7.16200       7.57700       28.68500      24.72700      25.30800      27.39500      27.79300      29.40200     
16384      5.69600       5.11500       5.25700       5.32100       5.50900       5.56500       22.10200      19.84900      20.39900      20.64700      21.37600      21.59300     
32768      3.16600       3.02100       3.32000       3.75100       3.92200       3.99700       12.28400      11.72300      12.88200      14.55500      15.22100      15.51100     
65536      1.52300       0.82600       0.43300       0.18400       0.14600       0.63200       5.90800       3.20600       1.68000       0.71400       0.56600       2.45200      
131072     0.72800       0.17200       0.12000       0.10200       0.10700       0.11500       2.82500       0.66900       0.46600       0.39600       0.41500       0.44500      
262144     0.33200       0.08300       0.07800       0.08000       0.08200       0.08400       1.28700       0.32300       0.30200       0.30900       0.31700       0.32800      
524288     0.23900       0.06000       0.05300       0.04900       0.04900       0.04900       0.92700       0.23200       0.20700       0.19200       0.19100       0.19200      
1048576    0.09400       0.05200       0.04900       0.04900       0.04900       0.04900       0.36300       0.20200       0.19000       0.19000       0.19100       0.19100      
2097152    0.07200       0.04900       0.04900       0.04900       0.04900       0.04900       0.28000       0.19200       0.19000       0.19000       0.19000       0.19100      
4194304    0.06100       0.04900       0.04900       0.04900       0.04900       0.04900       0.23700       0.19100       0.19000       0.19000       0.19000       0.19000      
8388608    0.05600       0.04900       0.04900       0.04900       0.04900       0.04900       0.21800       0.19000       0.19000       0.19000       0.19000       0.19000      
