size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.86100      11.92400      10.42700      9.77300       7.93800       0.00000       108.11500     46.27000      40.77200      37.92300      34.85400      0.00000      
2048       22.21600      9.74200       8.84000       3.46700       3.49300       8.88300       86.85600      37.80400      34.30300      15.22400      15.33700      34.47000     
4096       9.48600       8.06800       2.48700       7.92500       7.98200       6.81500       36.81000      31.30700      14.49900      30.75200      30.97300      26.82500     
8192       7.31300       6.77000       6.65700       6.93200       6.89600       28.38000      26.27000      25.94600      26.90000      26.75800      0.00000       0.00000      
16384      2.20200       5.04300       5.22700       4.86100       4.84900       5.00200       12.72100      19.64800      20.28500      18.98000      18.89100      19.41200     
32768      3.08900       3.19600       3.39100       3.85500       2.32600       4.02500       12.04900      12.40200      13.20300      14.95700      11.49100      15.62100     
65536      1.56700       0.92000       2.41200       0.27400       0.23200       2.21000       6.11200       3.56800       10.62000      1.06400       0.90100       11.66500     
131072     0.71600       0.50900       2.23700       0.12900       0.22500       2.78000       1.99400       11.03800      0.50200       0.87700       0.00000       0.00000      
262144     2.14700       2.11200       11.30900      11.42300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     1.91400       2.08700       1.92700       11.45000      10.64100      10.13100      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    1.93800       0.05300       0.05300       1.55500       9.96500       0.20600       0.20700       14.25900      0.00000       0.00000       0.00000       0.00000      
2097152    1.54500       4.40500       1.54700       13.99900      12.47100      14.05500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    4.32500       4.32500       1.80300       12.18400      12.18400      10.47300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    1.51700       1.43200       1.44400       0.05000       0.05000       12.11700      8.84900       7.35300       0.19200       0.19200       0.00000       0.00000      
