size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.54400      12.12300      10.99200      12.28500      56.88400      0.00000       104.02600     47.04100      42.87300      47.67200      220.73700     0.00000      
2048       23.70600      9.53600       8.59300       11.47700      51.33400      91.99100      37.20000      33.34500      44.53700      199.20100     0.00000       0.00000      
4096       7.52000       7.42200       7.81400       8.13000       9.49600       29.33100      28.94800      30.32300      31.54600      36.84800      0.00000       0.00000      
8192       2.93100       6.35500       6.50400       6.95500       6.59400       7.60000       12.63800      24.65900      25.23800      26.98800      26.25500      29.49000     
16384      5.48600       5.10600       5.12100       5.14800       5.52800       5.55400       21.35600      19.81300      19.93500      20.05600      21.58400      21.63500     
32768      2.54300       2.62600       3.33400       3.79900       3.89600       4.83100       10.96200      10.45400      12.93600      14.74200      15.18400      18.74800     
65536      1.59500       0.90700       0.43800       0.58300       0.89200       2.46400       6.23600       3.53800       1.69800       2.29600       3.55100       10.62300     
131072     0.71600       0.17100       0.25900       0.27800       0.11800       0.13800       2.78000       0.66500       1.00900       1.08700       0.45600       0.53400      
262144     0.41800       0.08300       2.37400       0.77600       0.16900       0.08500       1.62800       0.32200       10.23400      3.09000       0.65900       0.32900      
524288     2.08600       2.11800       0.16200       0.04900       0.41900       9.16100       9.29700       0.63300       0.19100       1.64800       0.00000       0.00000      
1048576    0.04900       0.04900       0.04900       0.19000       0.19000       0.19100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.07200       0.04900       0.04900       0.04900       0.28000       0.19000       0.19000       0.19000       0.00000       0.00000       0.00000       0.00000      
4194304    0.19000       0.04900       0.04900       0.04900       0.04900       0.74000       0.19000       0.19000       0.19000       0.19000       0.00000       0.00000      
8388608    0.14900       0.18500       0.04900       0.04900       0.04900       0.04900       0.58300       0.72200       0.19000       0.19000       0.19000       0.19000      
