size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.34900      11.82400      8.53100       9.41900       0.00000       106.54300     46.06100      33.10300      37.07700      0.00000       0.00000       0.00000      
2048       22.65400      5.57700       8.26500       8.32000       8.35200       8.36900       88.36100      24.48500      32.07200      32.28500      32.41200      32.47400     
4096       9.48600       7.85600       7.49500       6.90100       7.59300       36.81000      30.48400      29.08400      26.98300      29.46500      0.00000       0.00000      
8192       7.31300       6.25000       6.23400       5.78400       6.22000       6.22300       28.38000      24.25200      24.19000      22.61600      24.13500      24.14900     
16384      5.63300       4.94800       4.29700       4.48800       4.48500       4.60500       21.85800      19.20100      16.91300      17.54600      17.46400      17.86800     
32768      3.15100       2.93800       3.05800       3.17500       3.45100       12.22700      11.40200      11.86500      12.41400      13.43900      0.00000       0.00000      
65536      1.50800       0.81100       0.56800       0.28800       0.40500       0.12900       5.85200       3.14600       2.21700       1.12200       1.58700       0.50000      
131072     1.24700       0.28900       0.11800       0.10000       0.10200       0.10300       4.96500       1.12500       0.45900       0.38900       0.39500       0.40100      
262144     0.33100       0.07800       0.07900       0.08100       0.28200       1.28500       0.30100       0.30800       0.31400       1.10100       0.00000       0.00000      
524288     0.23900       0.24900       0.41000       0.04900       0.04900       0.92600       0.97200       1.61500       0.19000       0.19000       0.00000       0.00000      
1048576    0.09300       0.14300       0.04900       0.04900       0.16600       0.27000       0.36200       0.55500       0.19000       0.19000       0.64800       1.05800      
2097152    0.07200       0.13000       0.37400       0.04900       0.15100       0.27000       0.28000       0.50500       1.47100       0.19000       0.59000       1.05700      
4194304    1.98000       1.88700       0.04900       0.16500       0.26900       1.93900       8.53400       8.29700       0.19000       0.64500       1.05200       8.35800      
8388608    0.05600       0.04900       0.04900       0.04900       0.27100       0.04900       0.21800       0.19000       0.19000       0.19000       1.06300       0.19000      
