size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       27.86100      12.57900      11.23600      10.21700      10.75600      0.00000       108.11500     49.29500      44.73600      39.77100      42.35300      0.00000      
2048       6.26000       9.67700       8.54300       8.90000       8.88800       27.55900      37.91500      33.47400      34.53500      34.49100      0.00000       0.00000      
4096       8.15300       7.43400       7.85600       7.86300       7.79200       31.63900      29.02400      30.48600      30.51100      30.23600      0.00000       0.00000      
8192       7.31300       6.42100       6.17100       2.58600       6.59500       28.38000      24.99600      24.09200      11.35400      25.59100      0.00000       0.00000      
16384      5.63300       4.89400       4.67700       4.90400       4.85800       2.18400       21.85800      19.06500      18.28600      19.03100      18.85000      12.10800     
32768      3.15100       2.75100       2.54800       2.32400       2.54900       2.52700       12.22700      10.71300      9.94800       11.48100      9.89000       9.80700      
65536      1.50800       0.79000       0.46600       0.95200       0.29400       2.48800       5.85200       3.07600       1.81000       3.79000       1.14000       10.30300     
131072     2.44100       0.88200       0.52700       0.14500       2.25900       10.52400      3.51300       2.07600       0.56100       11.27000      0.00000       0.00000      
262144     0.20100       0.09600       0.09600       0.23300       2.07600       0.78300       0.37400       0.37200       0.90800       11.15600      0.00000       0.00000      
524288     0.34200       0.23100       0.06900       2.03100       0.06900       0.07000       1.33300       0.90100       0.26800       10.74900      0.26900       0.27000      
1048576    0.09300       0.06000       0.05700       0.15400       0.05800       0.36200       0.23400       0.22300       0.59900       0.22600       0.00000       0.00000      
2097152    2.02000       0.05400       0.05300       0.05300       0.05300       0.05300       8.70700       0.20800       0.20500       0.20500       0.20600       0.20600      
4194304    0.06100       0.62300       0.05100       0.05100       0.05100       0.05100       0.23700       2.48100       0.19700       0.19600       0.19600       0.19700      
8388608    0.05200       0.04700       0.15000       0.04600       1.47400       0.04500       0.20100       0.18300       0.58400       0.17700       10.70200      0.17600      
