size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72000      12.03600      10.03700      11.53500      15.65000      0.00000       100.80800     45.41000      37.86500      43.51700      59.04200      0.00000      
2048       22.49200      9.82800       8.77700       9.37300       10.97000      14.74700      84.85600      37.07800      33.11200      35.36400      41.38600      55.63500     
4096       9.69900       8.24300       7.77400       7.94100       8.40800       9.81600       36.59000      31.10000      29.32900      29.95800      31.72200      37.03400     
8192       7.79900       6.45000       6.52600       6.90900       7.01200       7.42800       29.42500      24.33400      24.62000      26.06600      26.45500      28.02400     
16384      6.14500       5.34100       5.04800       5.14400       5.47100       5.53700       23.18200      20.14800      19.04600      19.40500      20.64000      20.88900     
32768      3.49400       3.53400       3.72400       3.93600       4.02300       4.10400       13.18300      13.33200      14.05000      14.84900      15.17700      15.48400     
65536      1.22500       0.66500       0.40700       0.28000       0.37800       0.49500       4.62300       2.51000       1.53600       1.05800       1.42500       1.86600      
131072     0.56300       0.14200       0.08600       0.08800       0.09700       0.26600       2.12200       0.53500       0.32600       0.33100       0.36600       1.00300      
262144     0.30900       0.06500       0.05300       0.05100       0.05200       0.05600       1.16600       0.24500       0.19800       0.19300       0.19600       0.21000      
524288     0.13200       0.05400       0.05000       0.05000       0.05000       0.05200       0.49800       0.20300       0.18800       0.18800       0.18900       0.19600      
1048576    0.07900       0.05000       0.05000       0.05000       0.05000       0.05000       0.29900       0.18900       0.18800       0.18800       0.18800       0.18900      
2097152    0.04600       0.04900       0.05000       0.05000       0.05000       0.05000       0.17300       0.18600       0.18700       0.18800       0.18800       0.18800      
4194304    0.00300       0.00100       0.00000       0.00000       0.00000       0.00000       0.01100       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00600       0.00000       0.00000       0.00000       0.00000       0.00000      
