size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72000      11.79700      10.00700      9.91400       9.99700       0.00000       100.80800     44.50600      37.75200      37.40100      37.71500      0.00000      
2048       22.49200      9.96200       8.92300       8.96100       8.96600       8.97900       84.85600      37.58200      33.66400      33.80600      33.82600      33.87700     
4096       9.69900       8.43400       7.95700       8.03800       8.02700       8.03200       36.59000      31.81800      30.01900      30.32500      30.28600      30.30400     
8192       7.79900       6.77300       6.86000       7.00300       7.05000       7.12500       29.42500      25.55200      25.88200      26.42000      26.59800      26.88200     
16384      6.14500       5.59800       5.24800       5.25400       5.19900       5.21000       23.18200      21.11900      19.79800      19.82300      19.61600      19.65400     
32768      3.49400       3.71800       3.99300       4.27300       4.37700       4.44500       13.18300      14.02900      15.06500      16.12000      16.51500      16.77100     
65536      1.22500       0.79200       0.50000       0.35900       0.35600       0.37200       4.62300       2.99000       1.88800       1.35600       1.34300       1.40500      
131072     0.56300       0.17000       0.12100       0.12300       0.12600       0.12600       2.12200       0.64300       0.45600       0.46300       0.47300       0.47600      
262144     0.30900       0.07900       0.06600       0.06500       0.06400       0.06500       1.16600       0.29700       0.24900       0.24500       0.24300       0.24400      
524288     0.13200       0.06100       0.05600       0.05600       0.05600       0.05600       0.49800       0.22800       0.21100       0.21200       0.21300       0.21300      
1048576    0.07900       0.05300       0.05300       0.05300       0.05300       0.05300       0.29900       0.20000       0.19900       0.19900       0.19900       0.20000      
2097152    0.04600       0.04700       0.04600       0.04000       0.03700       0.02800       0.17300       0.17600       0.17200       0.15300       0.13900       0.10600      
4194304    0.00300       0.00100       0.00000       0.00000       0.00000       0.00000       0.01100       0.00300       0.00000       0.00000       0.00000       0.00000      
8388608    0.00200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00600       0.00000       0.00000       0.00000       0.00000       0.00000      
