size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72000      12.57000      10.29500      12.39200      56.63000      0.00000       100.80800     47.42200      38.84100      46.75100      213.65200     0.00000      
2048       22.49200      9.92600       8.84500       9.68900       11.75800      43.11600      84.85600      37.44900      33.37100      36.55300      44.36000      162.66600    
4096       9.69900       8.25400       7.85200       8.06100       8.61100       10.23900      36.59000      31.14000      29.62300      30.41400      32.48800      38.63000     
8192       7.79900       6.47600       6.60100       7.20000       7.34900       7.93000       29.42500      24.43200      24.90200      27.16400      27.72500      29.91800     
16384      6.14500       5.35600       5.11200       5.29700       5.75900       5.85900       23.18200      20.20800      19.28800      19.98300      21.72700      22.10600     
32768      3.49400       3.55600       3.83600       4.11500       4.36100       5.09300       13.18300      13.41700      14.47400      15.52400      16.45300      19.21400     
65536      1.22500       0.66900       0.43300       0.32000       0.65500       0.93300       4.62300       2.52300       1.63300       1.20800       2.47000       3.52200      
131072     0.56300       0.14400       0.08800       0.09300       0.11100       0.54300       2.12200       0.54300       0.33100       0.35100       0.41800       2.04800      
262144     0.30900       0.06900       0.05400       0.05100       0.05500       0.06500       1.16600       0.26000       0.20200       0.19400       0.20900       0.24600      
524288     0.13200       0.05400       0.05000       0.05000       0.05000       0.05500       0.49800       0.20300       0.18800       0.18800       0.18900       0.20900      
1048576    0.07900       0.05000       0.05000       0.05000       0.05000       0.05000       0.29900       0.18900       0.18800       0.18800       0.18800       0.18900      
2097152    0.04600       0.04900       0.05000       0.05000       0.05000       0.05000       0.17300       0.18600       0.18800       0.18800       0.18800       0.18800      
4194304    0.00300       0.00100       0.00000       0.00000       0.00000       0.00000       0.01100       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00600       0.00000       0.00000       0.00000       0.00000       0.00000      
