size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72000      11.54700      8.67200       8.65000       8.63200       0.00000       100.80800     43.56200      32.71900      32.63600      32.56600      0.00000      
2048       22.49200      9.75700       8.35300       8.43300       8.45800       8.48400       84.85600      36.81000      31.51500      31.81700      31.91000      32.00800     
4096       9.69900       8.27700       7.48800       7.56200       7.59900       7.59400       36.59000      31.22700      28.25000      28.52900      28.67000      28.65100     
8192       7.79900       6.34200       6.27100       6.27500       6.30400       6.36200       29.42500      23.92600      23.65900      23.67500      23.78200      24.00100     
16384      6.14500       5.28300       4.86300       4.84000       4.78500       4.78600       23.18200      19.93300      18.34600      18.26000      18.05200      18.05500     
32768      3.49400       3.41800       3.52100       3.78000       3.89300       3.99900       13.18300      12.89600      13.28300      14.26300      14.68800      15.08700     
65536      1.22500       0.65300       0.37700       0.26600       0.26700       0.28400       4.62300       2.46200       1.42100       1.00500       1.00800       1.07100      
131072     0.56300       0.13600       0.08600       0.08300       0.08500       0.08600       2.12200       0.51400       0.32300       0.31300       0.32100       0.32300      
262144     0.30900       0.06500       0.05200       0.05100       0.05000       0.05000       1.16600       0.24400       0.19800       0.19200       0.18800       0.18800      
524288     0.13200       0.05400       0.05000       0.05000       0.05000       0.05000       0.49800       0.20300       0.18800       0.18800       0.18800       0.18800      
1048576    0.07900       0.05000       0.05000       0.05000       0.05000       0.05000       0.29900       0.18900       0.18800       0.18800       0.18800       0.18800      
2097152    0.04600       0.04900       0.05000       0.05000       0.05000       0.05000       0.17300       0.18600       0.18700       0.18700       0.18800       0.18800      
4194304    0.00300       0.00100       0.00000       0.00000       0.00000       0.00000       0.01100       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00600       0.00000       0.00000       0.00000       0.00000       0.00000      
