size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72000      12.27000      10.29500      10.10000      10.00300      0.00000       100.80800     46.29100      38.83900      38.10300      37.73900      0.00000      
2048       22.49200      10.11800      9.05100       8.89000       8.96200       8.98400       84.85600      38.17300      34.14900      33.53800      33.81000      33.89500     
4096       9.69900       8.48900       7.90800       7.87900       7.92800       7.99800       36.59000      32.02700      29.83400      29.72400      29.91200      30.17500     
8192       7.79900       6.63900       6.62600       6.59800       6.64100       6.63300       29.42500      25.04600      25.00000      24.89300      25.05300      25.02600     
16384      6.14500       5.44500       5.12800       5.14200       5.13100       5.15300       23.18200      20.54200      19.34700      19.39800      19.35800      19.44200     
32768      3.49400       3.13200       2.88100       2.83600       2.83900       2.85000       13.18300      11.81700      10.87000      10.69900      10.71000      10.75200     
65536      1.22500       0.73900       0.47100       0.40000       0.39800       0.40200       4.62300       2.78700       1.77600       1.51000       1.50300       1.51700      
131072     0.56300       0.18600       0.13400       0.12800       0.12900       0.13000       2.12200       0.70100       0.50400       0.48500       0.48800       0.48900      
262144     0.30900       0.08800       0.07500       0.07700       0.07700       0.07700       1.16600       0.33300       0.28400       0.29100       0.28900       0.29200      
524288     0.13200       0.06600       0.06000       0.05900       0.06100       0.06100       0.49800       0.24900       0.22600       0.22400       0.22900       0.23000      
1048576    0.07900       0.05500       0.05300       0.05300       0.05300       0.05300       0.29900       0.20700       0.20200       0.19900       0.19900       0.20100      
2097152    0.04600       0.04100       0.03900       0.03800       0.03700       0.03700       0.17300       0.15300       0.14600       0.14200       0.14100       0.14000      
4194304    0.00300       0.00100       0.00000       0.00000       0.00000       0.00000       0.01100       0.00400       0.00100       0.00100       0.00100       0.00100      
8388608    0.00200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00600       0.00000       0.00100       0.00100       0.00100       0.00100      
