size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72500      11.84900      9.95800       9.90800       9.97600       0.00000       104.18400     46.19100      38.81800      38.62500      38.88900      0.00000      
2048       22.78700      9.91800       8.89800       8.95300       8.98200       8.93600       88.83000      38.66400      34.68800      34.90000      35.01400      34.83400     
4096       10.16700      8.43300       7.96700       8.00300       7.98300       7.98800       39.63500      32.87600      31.05800      31.20000      31.12200      31.14100     
8192       7.46100       6.82600       6.87600       6.99800       6.98500       6.97400       29.08600      26.61000      26.80400      27.28200      27.22800      27.18900     
16384      5.87200       5.26600       5.12000       5.10000       5.07800       4.88800       22.89100      20.52900      19.96000      19.88100      19.79600      19.05500     
32768      3.37400       3.55600       3.84100       4.10800       4.14400       4.12900       13.15400      13.86300      14.97300      16.01500      16.15500      16.09600     
65536      1.18000       0.81100       0.39100       0.25700       0.24900       0.25300       4.60200       3.16000       1.52400       1.00200       0.97200       0.98800      
131072     0.72000       0.14300       0.09500       0.08200       0.08400       0.08500       2.80500       0.55600       0.37100       0.32100       0.32900       0.33300      
262144     0.41200       0.08600       0.06300       0.06400       0.06400       0.06500       1.60800       0.33700       0.24600       0.24900       0.25000       0.25200      
524288     0.01900       0.01100       0.01300       0.01400       0.02100       0.02300       0.07300       0.04400       0.05200       0.05300       0.08100       0.08800      
1048576    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
2097152    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
