size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72500      12.46500      10.03300      12.35400      56.30300      0.00000       104.18400     48.59300      39.11300      48.15800      219.48700     0.00000      
2048       22.78700      9.85900       8.79600       9.54100       11.62300      42.76400      88.83000      38.43200      34.29000      37.19500      45.30900      166.70900    
4096       10.16700      8.37200       7.79800       7.93500       8.52600       10.13800      39.63500      32.63800      30.39700      30.93200      33.23700      39.52000     
8192       7.46100       6.54700       6.66200       7.14800       7.27600       7.77300       29.08600      25.52100      25.97100      27.86300      28.36300      30.30200     
16384      5.87200       5.10800       5.18800       5.46000       5.72300       5.79800       22.89100      19.91400      20.22500      21.28500      22.31100      22.60200     
32768      3.37400       3.39700       3.70600       4.15100       4.50100       5.05100       13.15400      13.24300      14.44700      16.18200      17.54700      19.68900     
65536      1.18000       0.68200       0.30600       0.15500       0.16000       0.57900       4.60200       2.66100       1.19300       0.60400       0.62400       2.25600      
131072     0.72000       0.13200       0.06500       0.05400       0.05400       0.06800       2.80500       0.51400       0.25500       0.21000       0.21200       0.26700      
262144     0.41200       0.09000       0.05300       0.05200       0.05300       0.05400       1.60800       0.35000       0.20500       0.20400       0.20700       0.21100      
524288     0.01900       0.01000       0.01300       0.02200       0.03600       0.04800       0.07300       0.04000       0.05100       0.08500       0.14000       0.18800      
1048576    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
2097152    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
