size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       26.72500      11.54700      8.66600       8.62900       8.60900       0.00000       104.18400     45.01500      33.78200      33.63700      33.56000      0.00000      
2048       22.78700      9.72100       8.35600       8.44700       8.46500       8.43900       88.83000      37.89400      32.57600      32.92800      32.99800      32.89900     
4096       10.16700      8.20300       7.52800       7.55400       7.56900       7.54800       39.63500      31.97800      29.34800      29.45000      29.50500      29.42500     
8192       7.46100       6.40400       6.36100       6.27400       6.14700       6.11700       29.08600      24.96400      24.79800      24.45800      23.96200      23.84700     
16384      5.87200       4.90400       4.71100       4.69300       4.69700       4.36400       22.89100      19.11700      18.36600      18.29500      18.31200      17.01200     
32768      3.37400       3.26800       3.35400       3.53300       3.56300       3.55900       13.15400      12.73900      13.07500      13.77200      13.88800      13.87400     
65536      1.18000       0.65800       0.27200       0.14900       0.13100       0.13400       4.60200       2.56400       1.06000       0.58000       0.50900       0.52100      
131072     0.72000       0.11500       0.06500       0.05300       0.05200       0.05200       2.80500       0.45000       0.25200       0.20600       0.20300       0.20300      
262144     0.41200       0.07500       0.05200       0.05200       0.05200       0.05200       1.60800       0.29200       0.20400       0.20200       0.20200       0.20200      
524288     0.01900       0.01000       0.01300       0.02200       0.03600       0.04800       0.07300       0.04000       0.05100       0.08500       0.13900       0.18700      
1048576    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
2097152    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
