size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      5.03600       5.03800       5.00800       19.63300      19.63900      19.52200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      4.69600       2.75900       13.22800      10.75500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      4.44400       0.30200       0.30700       12.52000      1.17600       1.19800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     0.11100       0.10200       0.43400       0.39900       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.08800       0.06300       0.06400       0.06200       4.15500       0.34300       0.24500       0.24900       0.24000       11.48500      0.00000       0.00000      
524288     4.75100       0.01200       11.45500      0.04500       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
