size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.89300      5.32400       2.81900       2.20600       0.00000       29.63800      15.18500      8.02500       6.31900       0.00000       0.00000       0.00000      
2048       26.76000      7.94400       19.75500      78.75000      21.61600      53.75100      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       8.48100       9.70400       1.96700       23.07600      26.40500      5.65000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       1.81400       8.47600       9.70300       5.20500       23.06200      26.40000      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      8.02200       1.51900       6.94200       7.08900       7.38400       8.47400       21.82800      4.33400       18.88900      19.28900      20.09200      23.05700     
32768      7.51900       6.81000       6.86100       6.93300       7.08000       20.45900      18.53100      18.66800      18.86500      19.26500      0.00000       0.00000      
65536      6.84500       6.91800       7.06500       18.62500      18.82200      19.22300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     6.65400       0.23400       0.55400       1.80300       6.85700       18.10400      0.68900       1.58000       5.18000       18.65800      0.00000       0.00000      
262144     6.33900       6.39400       6.44100       6.54800       17.24900      17.39800      17.52600      17.81600      0.00000       0.00000       0.00000       0.00000      
524288     0.38400       5.53300       5.74300       0.49000       5.87300       1.10000       15.05600      15.62500      1.40500       15.98100      0.00000       0.00000      
1048576    2.49000       3.35300       0.26500       3.84800       6.77600       9.12300       0.76700       10.47200      0.00000       0.00000       0.00000       0.00000      
2097152    0.28900       0.14600       0.01300       0.82400       0.39800       0.03600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.01700       0.40900       0.01200       0.39200       0.01200       0.04700       1.17600       0.03300       1.12600       0.03300       0.00000       0.00000      
8388608    0.01000       0.01100       0.39700       0.40200       0.01200       0.02800       0.03100       1.14000       1.15400       0.03200       0.00000       0.00000      
