size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.96300      7.24500       7.18900       0.00000       51.59600      19.71400      19.56100      0.00000       0.00000       0.00000       0.00000       0.00000      
2048       7.54000       1.19000       6.94700       0.43800       6.94400       20.51700      3.50100       18.90200      1.26400       18.89300      0.00000       0.00000      
4096       10.60400      7.06600       6.84800       28.85300      19.22500      18.63200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       9.16200       6.90800       0.39200       6.80200       6.80100       6.80100       24.93000      18.79600      1.13100       18.50700      18.50600      18.50600     
16384      6.78000       6.77900       18.44800      18.44500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      6.76700       0.29200       6.76200       0.32000       6.76200       18.41300      0.84200       18.39800      0.91400       18.39800      0.00000       0.00000      
65536      6.92500       6.73700       6.73800       6.73800       18.84200      18.33000      18.33300      18.33400      0.00000       0.00000       0.00000       0.00000      
131072     6.63800       0.30800       6.65200       18.06100      0.88000       18.10000      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     6.35400       6.38000       6.40600       6.41200       17.29000      17.36000      17.43100      17.44600      0.00000       0.00000       0.00000       0.00000      
524288     5.36900       5.54700       5.63500       0.30800       14.60700      15.09400      15.33200      0.87800       0.00000       0.00000       0.00000       0.00000      
1048576    2.49000       2.73900       3.16000       6.77600       7.45200       8.59800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.09500       0.02700       0.25800       0.07300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.01700       0.01200       0.20100       0.04700       0.03300       0.60800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.01000       0.01100       0.01100       0.01100       0.01000       0.02800       0.02900       0.02900       0.02900       0.02800       0.00000       0.00000      
