size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.96300      25.41400      12.69900      43.32100      0.00000       51.59600      72.49300      34.55400      117.87300     0.00000       0.00000       0.00000      
2048       9.40600       1.11300       12.51100      17.46600      25.59400      3.27400       34.04200      47.52400      0.00000       0.00000       0.00000       0.00000      
4096       10.60400      18.73400      7.93600       10.15300      1.28000       17.43900      28.85300      54.09700      21.59500      27.62500      5.44600       47.44900     
8192       9.16200       7.38100       7.92900       24.93000      20.08300      21.57400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      8.02200       7.10200       7.92400       10.07400      21.82800      19.32400      21.56200      27.41100      0.00000       0.00000       0.00000       0.00000      
32768      7.51900       6.95800       7.09100       20.45900      18.93300      19.29400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      6.92500       6.84000       6.94100       2.30900       18.84200      18.61100      18.88700      6.61500       0.00000       0.00000       0.00000       0.00000      
131072     6.68300       6.66700       0.30800       6.77400       6.87700       7.00600       18.18500      18.14000      0.87800       18.43000      18.71100      19.06400     
262144     6.35400       6.34500       6.46100       6.63600       17.29000      17.26300      17.58000      18.05600      0.00000       0.00000       0.00000       0.00000      
524288     5.53500       5.65100       5.74800       5.91700       15.05900      15.37500      15.64000      16.09900      0.00000       0.00000       0.00000       0.00000      
1048576    2.49000       2.82400       3.35300       0.29000       3.94300       6.77600       7.68300       9.12400       0.82500       10.72800      0.00000       0.00000      
2097152    0.10100       0.14600       0.03300       0.01800       0.36700       0.27600       0.39800       0.09100       0.04800       1.05300       0.00000       0.00000      
4194304    0.01200       0.01200       0.01200       0.01200       0.03300       0.03300       0.03300       0.03300       0.00000       0.00000       0.00000       0.00000      
8388608    0.01100       0.01200       0.35900       0.01200       0.01200       0.03100       0.03100       1.02800       0.03200       0.03200       0.00000       0.00000      
