size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.96300      9.52100       7.07000       1.95000       0.00000       51.59600      25.90500      19.23700      5.58600       0.00000       0.00000       0.00000      
2048       7.40700       6.81600       6.78000       6.77800       6.77800       20.15500      18.54700      18.44800      18.44300      18.44100      0.00000       0.00000      
4096       6.99400       6.76800       6.76500       6.76300       19.03000      18.41600      18.40800      18.40100      0.00000       0.00000       0.00000       0.00000      
8192       9.16200       6.76400       6.76200       6.76100       24.93000      18.40600      18.39800      18.39700      0.00000       0.00000       0.00000       0.00000      
16384      8.02200       0.42000       6.76000       6.76000       6.76000       21.82800      1.19800       18.39400      18.39400      18.39400      0.00000       0.00000      
32768      0.41300       6.75200       0.36900       6.75200       1.18500       18.37200      1.05600       18.37300      0.00000       0.00000       0.00000       0.00000      
65536      6.92500       6.73300       6.73400       6.73600       0.39500       6.73800       18.84200      18.32000      18.32200      18.32900      1.13200       18.33400     
131072     6.68300       6.64500       6.65900       6.66600       6.67500       18.18500      18.07900      18.11900      18.13900      18.16300      0.00000       0.00000      
262144     6.35400       0.39400       6.41800       6.43400       0.29000       17.29000      1.13200       17.46300      17.50600      0.82600       0.00000       0.00000      
524288     5.36900       0.41100       5.73500       5.79800       5.82600       14.60700      1.18200       15.60400      15.77500      15.85300      0.00000       0.00000      
1048576    0.41100       3.35300       3.84400       3.91900       1.18100       9.12200       10.46000      10.66400      0.00000       0.00000       0.00000       0.00000      
2097152    0.14600       0.03900       0.01300       0.39800       0.16800       0.03600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.01700       0.01200       0.01200       0.01200       0.01200       0.01200       0.04700       0.03300       0.03300       0.03300       0.03300       0.03300      
8388608    0.01100       0.01200       0.03100       0.03200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
