size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.15600      7.25500       7.42800       0.00000       27.63300      20.83900      20.21000      0.00000       0.00000       0.00000       0.00000       0.00000      
2048       13.44600      7.88500       7.10400       7.06500       6.94800       36.58500      21.45300      19.33100      19.22400      18.90400      0.00000       0.00000      
4096       4.13300       0.57900       6.88800       6.84000       6.83800       11.86000      1.66300       18.74300      18.61200      18.60500      0.00000       0.00000      
8192       9.16200       7.00600       0.34800       6.80300       6.79000       6.78300       24.93000      19.06300      1.02300       18.51000      18.47600      18.45600     
16384      6.89300       6.75600       6.74900       18.75600      18.38400      18.36300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      7.51900       6.79000       0.27400       6.70800       6.70300       6.71100       20.45900      18.47500      0.80500       18.25300      18.23900      18.26000     
65536      6.73800       6.65200       6.63200       6.63100       6.64200       18.33400      18.10000      18.04600      18.04300      18.07200      0.00000       0.00000      
131072     0.37400       6.49900       6.48000       6.50600       1.06600       17.68500      17.63200      17.70200      0.00000       0.00000       0.00000       0.00000      
262144     0.17900       6.16800       6.20800       0.53900       16.78200      16.89300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.26600       5.26400       5.29500       0.76800       14.32300      14.40700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    2.49000       0.30600       2.94900       6.77600       0.87400       8.02300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.09500       0.11600       0.01500       0.01300       0.25800       0.31500       0.04200       0.03500       0.00000       0.00000       0.00000       0.00000      
4194304    0.01700       0.01200       0.01200       0.01200       0.01200       0.04700       0.03200       0.03300       0.03300       0.03300       0.00000       0.00000      
8388608    0.01000       0.01100       0.01100       0.01100       0.01100       0.02800       0.02900       0.03000       0.03000       0.03100       0.00000       0.00000      
