size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       8.85300       24.07500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       7.01000       19.06200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      6.54300       17.79300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      5.91400       6.01600       4.16200       16.08300      16.35800      12.51400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     4.09700       4.14700       11.14200      11.27700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.84000       0.82700       0.92500       0.99200       2.28500       2.25000       2.51600       2.69700       0.00000       0.00000       0.00000       0.00000      
524288     3.88200       3.89000       0.05100       0.05100       11.67200      11.69500      0.13900       0.14000       0.00000       0.00000       0.00000       0.00000      
1048576    0.05000       0.13700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.03600       0.03900       4.28200       0.09700       0.10600       12.01100      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.02100       0.02200       0.05800       0.05800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.01200       0.03400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
