size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       25.70500      0.00000       72.10400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       6.19600       6.17400       6.16900       16.84800      16.78900      16.77500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       11.32600      6.13600       6.11200       30.80000      16.68500      16.62000      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       7.62900       6.22600       6.09900       20.74700      16.93100      16.58600      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      6.31900       5.85300       5.90900       17.18300      15.91700      16.06900      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      5.53900       15.06200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     4.38100       4.46000       11.91400      12.12700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     4.10200       11.83600      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.05100       0.13700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    3.88200       11.67200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.01600       0.01200       0.04200       0.03400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
