size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       5.39800       5.35800       33.81500      33.56300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       6.83100       5.20500       42.79000      32.60900      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       5.01400       5.68600       4.99900       5.26700       31.40900      16.41300      31.31400      32.99400      0.00000       0.00000       0.00000       0.00000      
16384      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      4.25100       4.27700       26.63000      26.79600      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      4.31600       3.60300       3.17600       27.04000      22.56900      19.89700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     4.28200       4.34300       12.01100      12.53700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.74900       0.39000       0.16900       4.69400       2.44400       1.06000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
