size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      4.19200       4.29100       26.26100      26.88200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     0.53200       4.33500       0.55900       0.61600       3.33000       12.60100      3.50100       3.85600       0.00000       0.00000       0.00000       0.00000      
262144     0.74900       0.21600       0.16600       4.69400       1.35500       1.03800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.16400       0.16100       0.16100       1.03000       1.00800       1.01100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.25800       0.15000       0.15000       0.15100       1.61600       0.94200       0.94100       0.94400       0.00000       0.00000       0.00000       0.00000      
2097152    0.12700       0.13300       0.79600       0.83500       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.06800       0.42700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00100       0.00100       0.00500       0.00400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
