size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.16600      5.89700       5.69500       5.96100       6.81000       0.00000       63.10000      36.60500      35.35300      37.00200      42.26900      0.00000      
2048       8.02300       5.44200       5.35500       5.45400       5.71100       6.55300       49.79800      33.78200      33.24200      33.85300      35.45000      40.67500     
4096       6.79800       5.13200       5.02500       5.03000       5.13100       5.36900       42.19900      31.85700      31.19000      31.21900      31.85000      33.32700     
8192       6.11200       4.82800       4.71300       4.71100       4.74800       4.84300       37.94100      29.96600      29.25400      29.24100      29.47200      30.06300     
16384      4.96400       4.45500       4.30700       4.25200       4.23400       4.24000       30.81000      27.65500      26.73600      26.39200      26.27900      26.31900     
32768      4.13900       3.38100       3.15800       2.98500       2.91700       2.87900       25.69400      20.98500      19.60300      18.53100      18.10300      17.87300     
65536      2.18400       2.13500       0.61100       0.70400       0.82900       0.94800       13.55800      13.25000      3.79500       4.36800       5.14800       5.88200      
131072     0.75200       0.24500       0.25700       0.16800       0.17000       0.20400       4.66900       1.51900       1.59500       1.04300       1.05800       1.26600      
262144     0.36000       0.15900       0.15100       0.15600       0.15800       0.16000       2.23500       0.98400       0.94000       0.96600       0.97800       0.99300      
524288     0.19400       0.13600       0.12600       0.12500       0.13000       0.13100       1.20400       0.84100       0.78300       0.77800       0.80500       0.81600      
1048576    0.07000       0.07000       0.07200       0.06700       0.06800       0.07200       0.43600       0.43200       0.45000       0.41500       0.42300       0.44500      
2097152    0.03300       0.00200       0.00200       0.00200       0.00200       0.00100       0.20300       0.01000       0.01200       0.01400       0.01000       0.00800      
4194304    0.03200       0.00100       0.00000       0.00000       0.00000       0.00000       0.19600       0.00400       0.00300       0.00300       0.00300       0.00300      
8388608    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00400       0.00300       0.00300       0.00300       0.00300       0.00300      
