size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       30.49300      24.71200      0.00000       73.52900      69.67600      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       5.93800       36.85700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       5.36900       5.28000       33.32500      32.77700      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       5.07200       5.00400       31.48400      31.06300      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      4.96000       4.81100       4.80100       4.78900       4.77700       30.78800      29.86300      29.80200      29.72500      29.64900      0.00000       0.00000      
32768      3.63800       3.86900       3.68000       22.58200      24.01500      22.84400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      2.09900       0.52500       0.61900       13.02900      3.25600       3.84300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     4.28200       12.01100      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.15400       0.15600       0.15500       0.95800       0.96500       0.96400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.13100       0.12000       0.81400       0.74300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    4.74900       0.07300       0.06700       11.45000      0.45100       0.41600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       4.74900       0.00300       0.00300       11.45000      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00100       4.28200       0.00400       12.01100      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
