size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       10.16600      5.93200       5.71300       6.04100       14.71700      0.00000       63.10000      36.82400      35.46200      37.49900      91.35300      0.00000      
2048       8.02300       5.44500       5.34400       5.45000       5.74100       14.40600      49.79800      33.79600      33.17000      33.82900      35.63600      89.41900     
4096       6.79800       5.13700       4.98600       5.04100       5.18100       5.48700       42.19900      31.88700      30.95200      31.29000      32.16000      34.05900     
8192       6.11200       4.82100       4.68400       4.69400       4.77900       4.92100       37.94100      29.92300      29.07400      29.13700      29.66500      30.54300     
16384      4.96400       4.46000       4.28200       4.21500       4.22300       4.31400       30.81000      27.68300      26.57800      26.16400      26.21500      26.77800     
32768      4.13900       3.38000       3.17900       2.92200       2.78600       2.78000       25.69400      20.97900      19.73200      18.13500      17.29100      17.25400     
65536      2.18400       2.44000       0.67300       0.72800       0.87700       1.01900       13.55800      15.14700      4.17800       4.52100       5.44400       6.32600      
131072     0.75200       0.26600       0.32500       0.17100       0.17500       0.25500       4.66900       1.65000       2.01700       1.05800       1.08500       1.58100      
262144     0.36000       0.15800       0.15200       0.15900       0.16000       0.16400       2.23500       0.98200       0.94100       0.98600       0.99200       1.01800      
524288     0.19400       0.13600       0.12600       0.12500       0.13300       0.13300       1.20400       0.84100       0.78400       0.77800       0.82400       0.82700      
1048576    0.07000       0.07000       0.07200       0.06700       0.06800       0.07400       0.43600       0.43200       0.45000       0.41500       0.42300       0.46100      
2097152    0.03300       0.00200       0.00200       0.00200       0.00200       0.00100       0.20300       0.01000       0.01200       0.01400       0.01000       0.00800      
4194304    0.03200       0.00100       0.00000       0.00000       0.00000       0.00000       0.19600       0.00400       0.00300       0.00300       0.00300       0.00300      
8388608    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00400       0.00300       0.00300       0.00300       0.00300       0.00300      
